 Gene	Chromosome	Start	End	GC	Type
HORVU0Hr1G000990	chrUn	5726507	5735228	43.32	protein_coding
HORVU0Hr1G008950	chrUn	53571577	53574353	55.42	protein_coding
HORVU0Hr1G017100	chrUn	91507636	91510726	45.91	protein_coding
HORVU0Hr1G007650	chrUn	43359469	43360935	46.28	protein_coding
HORVU0Hr1G022480	chrUn	114762265	114764964	46.33	protein_coding
HORVU0Hr1G016960	chrUn	91152043	91157850	40.81	protein_coding
HORVU0Hr1G016920	chrUn	91130181	91144849	47.27	protein_coding
HORVU0Hr1G013890	chrUn	78068585	78074004	44.65	protein_coding
HORVU0Hr1G027070	chrUn	143560624	143561872	43.15	protein_coding
HORVU0Hr1G036390	chrUn	226303590	226303719	54.84	protein_coding
HORVU0Hr1G010920	chrUn	61925121	61933436	40.35	protein_coding
HORVU0Hr1G032710	chrUn	195879492	195880477	38.54	protein_coding
HORVU0Hr1G039250	chrUn	248298174	248355667	40.22	protein_coding
HORVU0Hr1G000720	chrUn	4718229	4720317	63.57	protein_coding
HORVU0Hr1G022280	chrUn	114430171	114436312	45.23	protein_coding
HORVU0Hr1G013760	chrUn	77691370	77692097	46.91	protein_coding
HORVU0Hr1G015960	chrUn	86128590	86135267	40.37	protein_coding
HORVU0Hr1G010000	chrUn	57252650	57255255	51.68	protein_coding
HORVU0Hr1G025870	chrUn	135177419	135180764	45.55	protein_coding
HORVU0Hr1G039670	chrUn	249023219	249041136	45.07	protein_coding
HORVU0Hr1G017950	chrUn	93304536	93306152	53.45	protein_coding
HORVU0Hr1G000810	chrUn	5025329	5047042	45.27	protein_coding
HORVU0Hr1G015950	chrUn	86123143	86127266	60.54	protein_coding
HORVU0Hr1G022240	chrUn	114384268	114387484	45.35	protein_coding
HORVU0Hr1G038970	chrUn	247844139	247845406	51.66	protein_coding
HORVU0Hr1G022350	chrUn	114469461	114471766	51.04	protein_coding
HORVU0Hr1G032250	chrUn	191716673	191723037	42.66	protein_coding
HORVU0Hr1G028950	chrUn	155128774	155135073	46.99	protein_coding
HORVU0Hr1G008080	chrUn	48452367	48458764	45.93	protein_coding
HORVU0Hr1G022610	chrUn	114866088	114874943	34.61	protein_coding
HORVU0Hr1G017480	chrUn	92659378	92662844	44.04	protein_coding
HORVU0Hr1G013220	chrUn	75877333	75883176	42.62	protein_coding
HORVU0Hr1G033130	chrUn	198200360	198200632	34.07	protein_coding
HORVU0Hr1G036750	chrUn	230891649	230891747	27.27	protein_coding
HORVU0Hr1G022060	chrUn	113664832	113668685	42.01	protein_coding
HORVU0Hr1G028890	chrUn	153716080	153716886	42.01	protein_coding
HORVU0Hr1G024880	chrUn	127853690	127854250	54.72	protein_coding
HORVU0Hr1G034090	chrUn	205258200	205258996	58.22	protein_coding
HORVU0Hr1G038250	chrUn	246592384	246597030	42.26	protein_coding
HORVU0Hr1G023050	chrUn	115817385	115817877	65.52	protein_coding
HORVU0Hr1G012630	chrUn	72565766	72572294	39.68	protein_coding
HORVU0Hr1G003000	chrUn	12151234	12152515	71.9	protein_coding
HORVU0Hr1G023980	chrUn	122043859	122050134	53.2	protein_coding
HORVU0Hr1G009410	chrUn	54957461	54958446	46.74	protein_coding
HORVU0Hr1G029370	chrUn	159836109	159837206	38.31	protein_coding
HORVU0Hr1G005900	chrUn	31843595	31847264	50.45	protein_coding
HORVU0Hr1G021390	chrUn	112223235	112228130	41.34	protein_coding
HORVU0Hr1G010340	chrUn	58631201	58635855	41.01	protein_coding
HORVU0Hr1G040530	chrUn	249757254	249760300	47.62	protein_coding
HORVU0Hr1G009740	chrUn	56732547	56736225	46.57	protein_coding
HORVU0Hr1G026590	chrUn	141398878	141400575	55.36	protein_coding
HORVU0Hr1G034320	chrUn	205925882	205926204	47.95	protein_coding
HORVU0Hr1G022470	chrUn	114751386	114762008	49.47	protein_coding
HORVU0Hr1G016930	chrUn	91133036	91138554	48.16	protein_coding
HORVU0Hr1G025890	chrUn	135186926	135192382	46.64	protein_coding
HORVU0Hr1G013200	chrUn	75848321	75849586	71.59	protein_coding
HORVU0Hr1G011310	chrUn	64097381	64101477	42.62	protein_coding
HORVU0Hr1G021980	chrUn	113603037	113607130	41.29	protein_coding
HORVU0Hr1G018210	chrUn	94298151	94309977	41.46	protein_coding
HORVU0Hr1G018030	chrUn	93571435	93574394	43.78	protein_coding
HORVU0Hr1G005020	chrUn	28702044	28703979	59.64	protein_coding
HORVU0Hr1G034340	chrUn	205940620	205941821	39.77	protein_coding
HORVU0Hr1G020350	chrUn	106922065	106926395	42.28	protein_coding
HORVU0Hr1G022830	chrUn	115177423	115180393	44.56	protein_coding
HORVU0Hr1G015390	chrUn	83979125	83983180	47.78	protein_coding
HORVU0Hr1G037170	chrUn	231500496	231501929	44.91	protein_coding
HORVU0Hr1G001390	chrUn	7349552	7353013	42.06	protein_coding
HORVU0Hr1G016230	chrUn	86858793	86861600	49.86	protein_coding
HORVU0Hr1G039990	chrUn	249563520	249569715	40.06	protein_coding
HORVU0Hr1G016820	chrUn	90770329	90786571	39.8	protein_coding
HORVU0Hr1G026890	chrUn	142935687	142937165	40.23	protein_coding
HORVU0Hr1G020740	chrUn	109412424	109412910	70.64	protein_coding
HORVU0Hr1G025390	chrUn	128866503	128897628	37.16	protein_coding
HORVU0Hr1G017620	chrUn	92751474	92757476	42.03	protein_coding
HORVU0Hr1G012920	chrUn	74575780	74577925	61.37	protein_coding
HORVU0Hr1G031850	chrUn	189951868	189955930	41.35	protein_coding
HORVU0Hr1G038620	chrUn	247095871	247103683	43.39	protein_coding
HORVU0Hr1G015290	chrUn	83908731	83919841	32.9	protein_coding
HORVU0Hr1G003340	chrUn	13730447	13733876	45.91	protein_coding
HORVU0Hr1G038330	chrUn	246830465	246843474	0	nontranslating_CDS
HORVU0Hr1G021930	chrUn	113581983	113583307	48.98	protein_coding
HORVU0Hr1G016940	chrUn	91147945	91148538	61.11	protein_coding
HORVU0Hr1G032730	chrUn	195886597	195887307	36.85	protein_coding
HORVU0Hr1G022360	chrUn	114472871	114476929	48.95	protein_coding
HORVU0Hr1G022690	chrUn	114901763	114904939	44	protein_coding
HORVU0Hr1G032280	chrUn	192053555	192065434	52.23	protein_coding
HORVU0Hr1G026130	chrUn	137450630	137451142	32.16	protein_coding
HORVU0Hr1G022160	chrUn	114172965	114175993	42.69	protein_coding
HORVU0Hr1G039000	chrUn	247865146	247866012	46.97	protein_coding
HORVU0Hr1G016660	chrUn	89985340	89991580	44.1	protein_coding
HORVU0Hr1G026940	chrUn	142953617	142954336	33.47	protein_coding
HORVU0Hr1G002960	chrUn	12073171	12116024	47.82	protein_coding
HORVU0Hr1G004130	chrUn	21837754	21840749	42.46	protein_coding
HORVU0Hr1G019710	chrUn	103840649	103939313	43.18	protein_coding
HORVU0Hr1G029910	chrUn	165225765	165226988	42.97	protein_coding
HORVU0Hr1G016000	chrUn	86151050	86161048	41.64	protein_coding
HORVU0Hr1G038950	chrUn	247786171	247788354	0	nontranslating_CDS
HORVU0Hr1G025860	chrUn	135170732	135176103	0	nontranslating_CDS
HORVU0Hr1G039080	chrUn	248035346	248038793	46.64	protein_coding
HORVU0Hr1G040330	chrUn	249642381	249649705	42.15	protein_coding
HORVU0Hr1G031350	chrUn	186689286	186689399	35.96	protein_coding
HORVU0Hr1G014510	chrUn	79535781	79541214	45.42	protein_coding
HORVU0Hr1G011280	chrUn	63913443	63914743	60.98	protein_coding
HORVU0Hr1G012860	chrUn	74050947	74053033	60.85	protein_coding
HORVU0Hr1G020260	chrUn	106555546	106559231	38.37	protein_coding
HORVU0Hr1G032510	chrUn	193858035	193858283	60.24	protein_coding
HORVU0Hr1G010530	chrUn	59941263	59961746	0	nontranslating_CDS
HORVU0Hr1G020750	chrUn	109462745	109467790	45.94	protein_coding
HORVU0Hr1G007360	chrUn	42080517	42084221	47.1	protein_coding
HORVU0Hr1G017560	chrUn	92713229	92725130	49.82	protein_coding
HORVU0Hr1G005820	chrUn	31452500	31452991	39.23	protein_coding
HORVU0Hr1G031470	chrUn	186742520	186742754	39.57	protein_coding
HORVU0Hr1G020270	chrUn	106562819	106565120	56.95	protein_coding
HORVU0Hr1G017000	chrUn	91366144	91370475	50.72	protein_coding
HORVU0Hr1G023180	chrUn	116715692	116717000	45.23	protein_coding
HORVU0Hr1G029600	chrUn	164731196	164731985	58.61	protein_coding
HORVU0Hr1G039590	chrUn	248872563	248881570	41.79	protein_coding
HORVU0Hr1G003280	chrUn	13486645	13488561	55.97	protein_coding
HORVU0Hr1G003880	chrUn	18552794	18553877	56.55	protein_coding
HORVU0Hr1G026390	chrUn	138731438	138731551	64.04	protein_coding
HORVU0Hr1G001440	chrUn	7507037	7511309	45.96	protein_coding
HORVU0Hr1G024740	chrUn	127824686	127824997	44.55	protein_coding
HORVU0Hr1G023300	chrUn	117364820	117368251	44.06	protein_coding
HORVU0Hr1G003980	chrUn	20045301	20046038	59.49	protein_coding
HORVU0Hr1G039170	chrUn	248141188	248147114	45.62	protein_coding
HORVU0Hr1G038190	chrUn	246128878	246129142	63.77	protein_coding
HORVU0Hr1G027540	chrUn	147378310	147378540	38.96	protein_coding
HORVU0Hr1G007690	chrUn	43915519	43921028	47.3	protein_coding
HORVU0Hr1G020840	chrUn	109738179	109777730	43.89	protein_coding
HORVU0Hr1G013310	chrUn	76334819	76335310	44.39	protein_coding
HORVU0Hr1G012510	chrUn	71933602	71937220	40.56	protein_coding
HORVU0Hr1G015650	chrUn	84614442	84616014	63.64	protein_coding
HORVU0Hr1G014980	chrUn	82987138	82990503	47.33	protein_coding
HORVU0Hr1G032400	chrUn	193145432	193151983	45.57	protein_coding
HORVU0Hr1G038120	chrUn	243875341	243882609	44.86	protein_coding
HORVU0Hr1G032110	chrUn	191354390	191359023	44.11	protein_coding
HORVU0Hr1G039270	chrUn	248455514	248463720	44.18	protein_coding
HORVU0Hr1G039110	chrUn	248067977	248071582	44.15	protein_coding
HORVU0Hr1G038470	chrUn	246995578	247012379	45.48	protein_coding
HORVU0Hr1G039090	chrUn	248040453	248042528	56.89	protein_coding
HORVU0Hr1G001690	chrUn	7937561	7965040	46.84	protein_coding
HORVU0Hr1G015770	chrUn	84989325	84994018	38.96	protein_coding
HORVU0Hr1G008690	chrUn	52121769	52131080	41.02	protein_coding
HORVU0Hr1G023280	chrUn	117228084	117239029	46.94	protein_coding
HORVU0Hr1G021450	chrUn	112423700	112427041	46.14	protein_coding
HORVU0Hr1G021240	chrUn	111403101	111405571	59.52	protein_coding
HORVU0Hr1G025820	chrUn	134243280	134246230	41.61	protein_coding
HORVU0Hr1G033370	chrUn	201653169	201654439	0	nontranslating_CDS
HORVU0Hr1G017350	chrUn	92449332	92453101	62.31	protein_coding
HORVU0Hr1G004700	chrUn	27157663	27160063	42.65	protein_coding
HORVU0Hr1G032960	chrUn	197894339	197894596	37.21	protein_coding
HORVU0Hr1G030390	chrUn	176498386	176502641	42.67	protein_coding
HORVU0Hr1G030360	chrUn	176448850	176464706	47.27	protein_coding
HORVU0Hr1G013680	chrUn	77385749	77387253	38.32	protein_coding
HORVU0Hr1G011010	chrUn	62427212	62427579	69.38	protein_coding
HORVU0Hr1G032230	chrUn	191713739	191716479	52.68	protein_coding
HORVU0Hr1G008030	chrUn	47956359	47960610	40.73	protein_coding
HORVU0Hr1G038670	chrUn	247241340	247243500	67.15	protein_coding
HORVU0Hr1G008780	chrUn	52755295	52762938	49.67	protein_coding
HORVU0Hr1G020360	chrUn	106986231	106989454	52.3	protein_coding
HORVU0Hr1G013040	chrUn	75068248	75071442	44.48	protein_coding
HORVU0Hr1G038830	chrUn	247573487	247578817	44.9	protein_coding
HORVU0Hr1G035650	chrUn	215384981	215386228	60.1	protein_coding
HORVU0Hr1G028470	chrUn	151363107	151363341	39.57	protein_coding
HORVU0Hr1G006810	chrUn	39515430	39516389	64.73	protein_coding
HORVU0Hr1G035780	chrUn	217191578	217192566	58.44	protein_coding
HORVU0Hr1G020730	chrUn	109359345	109362878	57.58	protein_coding
HORVU0Hr1G024050	chrUn	122849351	122853962	43.1	protein_coding
HORVU0Hr1G007320	chrUn	41942485	41947383	43.76	protein_coding
HORVU0Hr1G010190	chrUn	57860718	57861091	66.41	protein_coding
HORVU0Hr1G035930	chrUn	221278442	221283349	41.73	protein_coding
HORVU0Hr1G017020	chrUn	91412363	91415524	48.17	protein_coding
HORVU0Hr1G022780	chrUn	115113639	115118844	41.13	protein_coding
HORVU0Hr1G001230	chrUn	6504720	6509378	46.04	protein_coding
HORVU0Hr1G020450	chrUn	107305560	107307135	39.85	protein_coding
HORVU0Hr1G015780	chrUn	84995051	84999150	48.78	protein_coding
HORVU0Hr1G021610	chrUn	113010439	113012451	52.71	protein_coding
HORVU0Hr1G009380	chrUn	54927981	54933076	45.13	protein_coding
HORVU0Hr1G039790	chrUn	249377886	249379548	60.97	protein_coding
HORVU0Hr1G038450	chrUn	246948520	246951310	45.29	protein_coding
HORVU0Hr1G015820	chrUn	85482986	85489018	38.59	protein_coding
HORVU0Hr1G022270	chrUn	114423357	114427705	46.63	protein_coding
HORVU0Hr1G019020	chrUn	102330458	102331099	46.57	protein_coding
HORVU0Hr1G039200	chrUn	248163448	248167304	0	nontranslating_CDS
HORVU0Hr1G005060	chrUn	28838398	28840663	71.01	protein_coding
HORVU0Hr1G039260	chrUn	248337686	248340481	46.37	protein_coding
HORVU0Hr1G017960	chrUn	93328948	93330865	43.48	protein_coding
HORVU0Hr1G032490	chrUn	193478569	193479631	61.37	protein_coding
HORVU0Hr1G005320	chrUn	29768493	29771446	59.52	protein_coding
HORVU0Hr1G015980	chrUn	86143544	86145328	62.13	protein_coding
HORVU0Hr1G031630	chrUn	187915822	187916436	55.77	protein_coding
HORVU0Hr1G009910	chrUn	57072018	57075144	50.02	protein_coding
HORVU0Hr1G015750	chrUn	84980141	84982854	45.06	protein_coding
HORVU0Hr1G000100	chrUn	328375	328593	46.12	protein_coding
HORVU0Hr1G020710	chrUn	109200724	109201340	65.42	protein_coding
HORVU0Hr1G017060	chrUn	91486149	91487344	57.53	protein_coding
HORVU0Hr1G023720	chrUn	119724385	119726408	55.24	protein_coding
HORVU0Hr1G017610	chrUn	92749224	92751052	62.77	protein_coding
HORVU0Hr1G008590	chrUn	51350172	51353505	43.61	protein_coding
HORVU0Hr1G025920	chrUn	136357057	136372608	42.89	nontranslating_CDS
HORVU0Hr1G032970	chrUn	197895601	197895801	37.81	protein_coding
HORVU0Hr1G023360	chrUn	117946510	117947631	56.51	protein_coding
HORVU0Hr1G032340	chrUn	192879177	192883676	41.89	protein_coding
HORVU0Hr1G021520	chrUn	112487317	112487921	49.42	protein_coding
HORVU0Hr1G004970	chrUn	28248530	28251051	42.65	protein_coding
HORVU0Hr1G026800	chrUn	142902096	142902506	36.25	protein_coding
HORVU0Hr1G038460	chrUn	246954079	246955665	37.74	protein_coding
HORVU0Hr1G017140	chrUn	91698629	91701390	43.92	protein_coding
HORVU0Hr1G016650	chrUn	89911621	89912202	52.23	protein_coding
HORVU0Hr1G016880	chrUn	91121229	91125409	44.63	protein_coding
HORVU0Hr1G019750	chrUn	104055433	104058327	42.22	protein_coding
HORVU0Hr1G012520	chrUn	71939338	71943226	39.98	protein_coding
HORVU0Hr1G008650	chrUn	51749795	51752111	55.78	protein_coding
HORVU0Hr1G023910	chrUn	122010859	122086357	53.32	protein_coding
HORVU0Hr1G033860	chrUn	204482348	204482560	34.74	protein_coding
HORVU0Hr1G016840	chrUn	90797762	90807202	42.33	protein_coding
HORVU0Hr1G033600	chrUn	203059092	203059364	34.07	protein_coding
HORVU0Hr1G009150	chrUn	53927349	53930169	50.2	protein_coding
HORVU0Hr1G019760	chrUn	104058543	104062463	44.77	protein_coding
HORVU0Hr1G037830	chrUn	237988326	237989176	51.93	protein_coding
HORVU0Hr1G039620	chrUn	248919900	248924721	43.83	protein_coding
HORVU0Hr1G023660	chrUn	119251620	119254484	44.5	protein_coding
HORVU0Hr1G020490	chrUn	107683183	107688170	47.77	protein_coding
HORVU0Hr1G015990	chrUn	86149514	86150675	54.91	protein_coding
HORVU0Hr1G038320	chrUn	246822174	246834119	0	nontranslating_CDS
HORVU0Hr1G021690	chrUn	113100764	113108628	54.6	protein_coding
HORVU0Hr1G029140	chrUn	158385438	158390332	41.78	protein_coding
HORVU0Hr1G020220	chrUn	106180673	106183460	47.82	protein_coding
HORVU0Hr1G001960	chrUn	9590083	9590918	66.44	protein_coding
HORVU0Hr1G016700	chrUn	90172273	90174832	49.26	protein_coding
HORVU0Hr1G008880	chrUn	53421514	53431369	41.52	protein_coding
HORVU0Hr1G040200	chrUn	249614137	249618291	43.14	protein_coding
HORVU0Hr1G021810	chrUn	113247497	113251464	55.42	protein_coding
HORVU0Hr1G029960	chrUn	165230432	165232694	36.28	protein_coding
HORVU0Hr1G036300	chrUn	224620391	224621066	57.81	protein_coding
HORVU0Hr1G026710	chrUn	142836864	142855518	42.25	protein_coding
HORVU0Hr1G025410	chrUn	129463652	129465544	44.59	protein_coding
HORVU0Hr1G002840	chrUn	11811645	11813120	58.44	protein_coding
HORVU0Hr1G040320	chrUn	249636783	249641729	50.29	protein_coding
HORVU0Hr1G022810	chrUn	115133532	115141272	44.18	protein_coding
HORVU0Hr1G016380	chrUn	87951204	87952996	58.34	protein_coding
HORVU0Hr1G032800	chrUn	195928828	195929245	39.71	protein_coding
HORVU0Hr1G000960	chrUn	5682510	5685186	44.68	protein_coding
HORVU0Hr1G017670	chrUn	92873845	92875556	53.97	protein_coding
HORVU0Hr1G040210	chrUn	249618794	249622614	46.73	protein_coding
HORVU0Hr1G032410	chrUn	193189886	193191576	51.06	protein_coding
HORVU0Hr1G038960	chrUn	247817643	247820187	44.14	protein_coding
HORVU0Hr1G006520	chrUn	36525108	36526740	39.15	protein_coding
HORVU0Hr1G039840	chrUn	249512545	249513758	60.87	protein_coding
HORVU0Hr1G027980	chrUn	148546629	148551584	34.21	protein_coding
HORVU0Hr1G017220	chrUn	92114495	92117696	49.86	protein_coding
HORVU0Hr1G022050	chrUn	113618561	113634319	47.17	protein_coding
HORVU0Hr1G014000	chrUn	78260518	78261564	36.96	protein_coding
HORVU0Hr1G019650	chrUn	103679580	103680969	62.59	protein_coding
HORVU0Hr1G020780	chrUn	109570454	109572763	50.26	protein_coding
HORVU0Hr1G032870	chrUn	196444174	196445463	52.4	protein_coding
HORVU0Hr1G039910	chrUn	249544114	249546000	60.76	protein_coding
HORVU0Hr1G017080	chrUn	91494240	91502042	42.11	protein_coding
HORVU0Hr1G016510	chrUn	88727896	88732244	41.03	protein_coding
HORVU0Hr1G018890	chrUn	102135464	102137784	56.51	protein_coding
HORVU0Hr1G023640	chrUn	119245734	119249682	47.2	protein_coding
HORVU0Hr1G034330	chrUn	205928644	205928844	37.81	protein_coding
HORVU0Hr1G018590	chrUn	98505109	98506776	53.54	protein_coding
HORVU0Hr1G022000	chrUn	113607305	113609587	54.51	protein_coding
HORVU0Hr1G017680	chrUn	92876406	92880596	48.66	protein_coding
HORVU0Hr1G034730	chrUn	206033830	206034300	39.49	protein_coding
HORVU0Hr1G012710	chrUn	73078959	73081181	61.57	protein_coding
HORVU0Hr1G025700	chrUn	133148338	133165597	45.54	protein_coding
HORVU0Hr1G036760	chrUn	230896329	230897597	41.47	protein_coding
HORVU0Hr1G033280	chrUn	200169601	200169963	41.6	protein_coding
HORVU0Hr1G015890	chrUn	86024174	86027332	45.01	protein_coding
HORVU0Hr1G031710	chrUn	188396893	188401846	46.97	protein_coding
HORVU0Hr1G030830	chrUn	179616536	179617756	61.18	protein_coding
HORVU0Hr1G024830	chrUn	127842855	127844087	37.19	protein_coding
HORVU0Hr1G023930	chrUn	122014067	122061179	52.73	protein_coding
HORVU0Hr1G016690	chrUn	90168996	90169181	52.15	protein_coding
HORVU0Hr1G001780	chrUn	9144262	9160730	46.35	protein_coding
HORVU0Hr1G010590	chrUn	60348685	60357577	41.32	protein_coding
HORVU0Hr1G010710	chrUn	60832718	60832954	39.66	protein_coding
HORVU0Hr1G022580	chrUn	114837829	114842665	43.58	protein_coding
HORVU0Hr1G038770	chrUn	247428103	247431115	45.04	protein_coding
HORVU0Hr1G029670	chrUn	165161823	165162134	44.55	protein_coding
HORVU0Hr1G027900	chrUn	148358456	148362906	47.37	nontranslating_CDS
HORVU0Hr1G002480	chrUn	11134211	11134795	37.56	protein_coding
HORVU0Hr1G008860	chrUn	53294027	53300349	40.58	protein_coding
HORVU0Hr1G026330	chrUn	137526830	137528706	60.31	protein_coding
HORVU0Hr1G033330	chrUn	200646573	200657686	43.67	protein_coding
HORVU0Hr1G004140	chrUn	21842501	21843271	59.92	protein_coding
HORVU0Hr1G018450	chrUn	97701210	97701509	77	protein_coding
HORVU0Hr1G003040	chrUn	12172875	12176774	43.15	protein_coding
HORVU0Hr1G015450	chrUn	84305115	84310138	47.08	protein_coding
HORVU0Hr1G016050	chrUn	86613415	86654874	49.07	protein_coding
HORVU0Hr1G004690	chrUn	27152393	27153426	48.55	protein_coding
HORVU0Hr1G008620	chrUn	51364949	51376856	45.47	protein_coding
HORVU0Hr1G036590	chrUn	227244682	227248328	44.47	protein_coding
HORVU0Hr1G016590	chrUn	89465527	89468652	52.11	protein_coding
HORVU0Hr1G034970	chrUn	206080489	206080976	46.93	protein_coding
HORVU0Hr1G021060	chrUn	110183556	110187206	41.99	protein_coding
HORVU0Hr1G007130	chrUn	40994826	40997319	68.44	protein_coding
HORVU0Hr1G021940	chrUn	113586647	113591643	48.15	protein_coding
HORVU0Hr1G039920	chrUn	249546046	249547978	47.65	protein_coding
HORVU0Hr1G036530	chrUn	226330462	226330677	39.81	protein_coding
HORVU0Hr1G008700	chrUn	52288440	52293521	47.33	protein_coding
HORVU0Hr1G023950	chrUn	122033335	122034481	0	nontranslating_CDS
HORVU0Hr1G024490	chrUn	127747886	127749265	0	nontranslating_CDS
HORVU0Hr1G031970	chrUn	190790801	190793400	43.6	protein_coding
HORVU0Hr1G018320	chrUn	95324637	95326315	56.34	protein_coding
HORVU0Hr1G040120	chrUn	249594540	249595860	53.24	protein_coding
HORVU0Hr1G001420	chrUn	7499051	7499564	58.94	protein_coding
HORVU0Hr1G016150	chrUn	86832447	86835333	37.76	protein_coding
HORVU0Hr1G031170	chrUn	185598737	185601613	53.08	protein_coding
HORVU0Hr1G021820	chrUn	113412465	113414936	40.77	protein_coding
HORVU0Hr1G022680	chrUn	114895700	114897750	50.17	protein_coding
HORVU0Hr1G018800	chrUn	101660612	101660818	52.17	protein_coding
HORVU0Hr1G039070	chrUn	248032532	248035876	48.42	protein_coding
HORVU0Hr1G003770	chrUn	17234602	17235024	52.25	protein_coding
HORVU0Hr1G022510	chrUn	114773295	114779028	42.92	protein_coding
HORVU0Hr1G007000	chrUn	40350534	40359388	42.95	protein_coding
HORVU0Hr1G023890	chrUn	122004316	122093123	52.88	protein_coding
HORVU0Hr1G024170	chrUn	124701174	124702434	58.84	protein_coding
HORVU0Hr1G014490	chrUn	79527389	79528881	54.19	protein_coding
HORVU0Hr1G012130	chrUn	69510120	69511109	48.79	protein_coding
HORVU0Hr1G024220	chrUn	124725402	124725560	41.51	protein_coding
HORVU0Hr1G034350	chrUn	205942360	205942779	40.95	protein_coding
HORVU0Hr1G014300	chrUn	79045867	79048176	48.92	protein_coding
HORVU0Hr1G028010	chrUn	148632088	148639030	40.3	protein_coding
HORVU0Hr1G023470	chrUn	118533549	118535509	46.6	protein_coding
HORVU0Hr1G015710	chrUn	84868899	84881072	43.61	protein_coding
HORVU0Hr1G010790	chrUn	60988232	60993570	42.61	protein_coding
HORVU0Hr1G025650	chrUn	132902768	132906495	43.29	protein_coding
HORVU0Hr1G017490	chrUn	92670362	92673510	51.41	protein_coding
HORVU0Hr1G038350	chrUn	246871944	246877906	42.74	protein_coding
HORVU0Hr1G024720	chrUn	127815992	127816804	42.34	protein_coding
HORVU0Hr1G024100	chrUn	123707484	123709300	49.97	protein_coding
HORVU0Hr1G030760	chrUn	178832184	178832335	38.16	protein_coding
HORVU0Hr1G023240	chrUn	117123023	117123619	56.45	protein_coding
HORVU0Hr1G024980	chrUn	127969297	127969785	39.26	protein_coding
HORVU0Hr1G014810	chrUn	81765095	81765364	66.67	protein_coding
HORVU0Hr1G016310	chrUn	86914110	86915460	51.89	protein_coding
HORVU0Hr1G022320	chrUn	114455154	114457527	58.3	protein_coding
HORVU0Hr1G032120	chrUn	191359714	191361646	48.53	protein_coding
HORVU0Hr1G006560	chrUn	36917133	36918184	40.3	protein_coding
HORVU0Hr1G000030	chrUn	147441	157466	42.84	protein_coding
HORVU0Hr1G002730	chrUn	11673500	11676557	43.2	protein_coding
HORVU0Hr1G010440	chrUn	59402409	59403337	45.64	protein_coding
HORVU0Hr1G022390	chrUn	114484919	114486024	38.79	protein_coding
HORVU0Hr1G006640	chrUn	38453862	38461779	42.4	protein_coding
HORVU0Hr1G035460	chrUn	214776304	214779169	54.49	protein_coding
