# List of all Hordeum genes mapped on one of the seven chromosomes of the Hv_IBSC_PGSB_v21			
# Chromosome / Start position of the gene (in bp from the origin of the chromosome)			
# with local recombination rate estimates (from MareyMap):  loess with span=0.2 and degree=2			
Gene	Chromosome	Start	Recombination
HORVU1Hr1G083390	1H	531731521	1.4
HORVU1Hr1G076430	1H	514098183	0.86
HORVU1Hr1G091870	1H	549125554	0.83
HORVU1Hr1G079130	1H	522434605	0.75
HORVU1Hr1G077600	1H	517975530	0.76
HORVU1Hr1G087460	1H	539380081	1.08
HORVU1Hr1G074330	1H	507638477	0.68
HORVU1Hr1G079370	1H	522834724	0.77
HORVU1Hr1G092960	1H	551845735	0.76
HORVU1Hr1G090670	1H	546670372	0.87
HORVU1Hr1G085730	1H	536140415	1.24
HORVU1Hr1G091080	1H	547411183	0.86
HORVU1Hr1G094840	1H	556480460	0.61
HORVU1Hr1G093590	1H	553498287	0.7
HORVU1Hr1G084980	1H	534714691	1.36
HORVU1Hr1G079170	1H	522473999	0.75
HORVU1Hr1G089530	1H	544038840	0.89
HORVU1Hr1G084900	1H	534540168	1.37
HORVU1Hr1G089570	1H	544084839	0.89
HORVU1Hr1G087900	1H	540584485	0.98
HORVU1Hr1G080900	1H	526608392	1.06
HORVU1Hr1G073840	1H	504803233	0.65
HORVU1Hr1G093000	1H	552223345	0.74
HORVU1Hr1G086050	1H	536727750	1.17
HORVU1Hr1G079050	1H	522260222	0.74
HORVU1Hr1G094460	1H	555419519	0.65
HORVU1Hr1G078690	1H	520816454	0.71
HORVU1Hr1G084350	1H	533708299	1.41
HORVU1Hr1G088580	1H	542051659	0.91
HORVU1Hr1G095130	1H	557707927	0.58
HORVU1Hr1G093700	1H	553796939	0.69
HORVU1Hr1G079140	1H	522447408	0.75
HORVU1Hr1G092890	1H	551611577	0.76
HORVU1Hr1G075880	1H	512631891	0.8
HORVU1Hr1G087240	1H	538978953	1.11
HORVU1Hr1G084200	1H	533209823	1.42
HORVU1Hr1G082160	1H	528880145	1.17
HORVU1Hr1G074300	1H	507598445	0.68
HORVU1Hr1G086300	1H	537142791	1.16
HORVU1Hr1G092970	1H	551851674	0.76
HORVU1Hr1G074960	1H	509515883	0.73
HORVU1Hr1G078530	1H	520639765	0.71
HORVU1Hr1G081810	1H	528147129	1.07
HORVU1Hr1G081470	1H	527789985	1.06
HORVU1Hr1G093950	1H	554371228	0.68
HORVU1Hr1G082090	1H	528633125	1.14
HORVU1Hr1G088110	1H	540985176	0.96
HORVU1Hr1G074420	1H	507972973	0.68
HORVU1Hr1G088340	1H	541523490	0.93
HORVU1Hr1G082100	1H	528719280	1.15
HORVU1Hr1G092200	1H	549864487	0.81
HORVU1Hr1G090020	1H	545123927	0.9
HORVU1Hr1G090080	1H	545249187	0.89
HORVU1Hr1G091350	1H	548123976	0.85
HORVU1Hr1G091270	1H	547950222	0.85
HORVU1Hr1G084450	1H	533930744	1.4
HORVU1Hr1G073760	1H	504458480	0.65
HORVU1Hr1G082910	1H	530749613	1.35
HORVU1Hr1G091890	1H	549181106	0.83
HORVU1Hr1G090030	1H	545142642	0.9
HORVU1Hr1G086450	1H	537502510	1.16
HORVU1Hr1G078160	1H	519262742	0.72
HORVU1Hr1G077910	1H	518897926	0.72
HORVU1Hr1G086070	1H	536783201	1.16
HORVU1Hr1G083910	1H	532868571	1.42
HORVU1Hr1G083370	1H	531716087	1.4
HORVU1Hr1G080860	1H	526483107	1.05
HORVU1Hr1G077900	1H	518820575	0.73
HORVU1Hr1G088600	1H	542066459	0.91
HORVU1Hr1G078730	1H	520981169	0.71
HORVU1Hr1G074660	1H	508779949	0.71
HORVU1Hr1G079410	1H	522953671	0.77
HORVU1Hr1G075920	1H	512691981	0.8
HORVU1Hr1G078140	1H	519189721	0.72
HORVU1Hr1G088060	1H	540841210	0.97
HORVU1Hr1G076900	1H	515953680	0.86
HORVU1Hr1G089510	1H	543957096	0.89
HORVU1Hr1G077730	1H	518272361	0.74
HORVU1Hr1G090200	1H	545514821	0.89
HORVU1Hr1G089950	1H	544988542	0.9
HORVU1Hr1G073600	1H	503801465	0.64
HORVU1Hr1G088510	1H	541902822	0.92
HORVU1Hr1G090430	1H	546010475	0.88
HORVU1Hr1G089610	1H	544413100	0.9
HORVU1Hr1G091210	1H	547726782	0.86
HORVU1Hr1G074310	1H	507622508	0.68
HORVU1Hr1G091130	1H	547458258	0.86
HORVU1Hr1G076090	1H	513160988	0.83
HORVU1Hr1G083110	1H	531236873	1.38
HORVU1Hr1G081320	1H	527455211	1.07
HORVU1Hr1G095210	1H	557935653	0.57
HORVU1Hr1G078290	1H	519660191	0.71
HORVU1Hr1G074290	1H	507585718	0.68
HORVU1Hr1G087520	1H	539453818	1.07
HORVU1Hr1G075270	1H	510593208	0.74
HORVU1Hr1G077520	1H	517565847	0.78
HORVU1Hr1G076880	1H	515943339	0.86
HORVU1Hr1G095110	1H	557387532	0.59
HORVU1Hr1G093390	1H	552906529	0.72
HORVU1Hr1G073900	1H	505244500	0.66
HORVU1Hr1G077790	1H	518554761	0.73
HORVU1Hr1G091030	1H	547302883	0.86
HORVU1Hr1G081430	1H	527731660	1.06
HORVU1Hr1G083920	1H	532875177	1.42
HORVU1Hr1G075830	1H	512548267	0.79
HORVU1Hr1G087970	1H	540715009	0.97
HORVU1Hr1G080060	1H	524415888	0.87
HORVU1Hr1G079610	1H	523387690	0.8
HORVU1Hr1G076210	1H	513303112	0.83
HORVU1Hr1G091390	1H	548302372	0.84
HORVU1Hr1G085680	1H	536100359	1.24
HORVU1Hr1G080640	1H	525926235	1.01
HORVU1Hr1G094900	1H	556777408	0.61
HORVU1Hr1G089560	1H	544081077	0.89
HORVU1Hr1G082540	1H	529829043	1.28
HORVU1Hr1G077770	1H	518523566	0.74
HORVU1Hr1G081710	1H	528037255	1.05
HORVU1Hr1G095010	1H	556924891	0.6
HORVU1Hr1G095270	1H	557990435	0.57
HORVU1Hr1G084090	1H	533014528	1.42
HORVU1Hr1G080780	1H	526214309	1.03
HORVU1Hr1G093120	1H	552383895	0.74
HORVU1Hr1G077190	1H	516505200	0.84
HORVU1Hr1G093260	1H	552543829	0.73
HORVU1Hr1G090780	1H	547044966	0.87
HORVU1Hr1G083050	1H	531054350	1.37
HORVU1Hr1G079310	1H	522706283	0.76
HORVU1Hr1G079280	1H	522596769	0.76
HORVU1Hr1G079910	1H	523971479	0.83
HORVU1Hr1G094990	1H	556905147	0.6
HORVU1Hr1G091700	1H	548921024	0.83
HORVU1Hr1G075660	1H	511812021	0.74
HORVU1Hr1G074510	1H	508268516	0.69
HORVU1Hr1G091600	1H	548765935	0.84
HORVU1Hr1G089840	1H	544918998	0.9
HORVU1Hr1G080720	1H	526121434	1.03
HORVU1Hr1G086400	1H	537427384	1.16
HORVU1Hr1G090930	1H	547192815	0.87
HORVU1Hr1G090940	1H	547198234	0.87
HORVU1Hr1G086360	1H	537214973	1.16
HORVU1Hr1G074340	1H	507642792	0.68
HORVU1Hr1G091430	1H	548348996	0.84
HORVU1Hr1G077680	1H	518159277	0.75
HORVU1Hr1G092950	1H	551836459	0.76
HORVU1Hr1G075620	1H	511566379	0.74
HORVU1Hr1G081700	1H	528031392	1.05
HORVU1Hr1G090770	1H	547037026	0.87
HORVU1Hr1G078890	1H	521293226	0.71
HORVU1Hr1G091460	1H	548448564	0.84
HORVU1Hr1G090760	1H	546901889	0.87
HORVU1Hr1G083870	1H	532786409	1.42
HORVU1Hr1G080840	1H	526369760	1.05
HORVU1Hr1G090650	1H	546626763	0.88
HORVU1Hr1G085630	1H	535952479	1.26
HORVU1Hr1G091310	1H	548039467	0.85
HORVU1Hr1G086390	1H	537362557	1.16
HORVU1Hr1G091250	1H	547777417	0.86
HORVU1Hr1G092100	1H	549753217	0.81
HORVU1Hr1G088780	1H	542661017	0.89
HORVU1Hr1G087380	1H	539136628	1.1
HORVU1Hr1G094400	1H	555280333	0.65
HORVU1Hr1G094240	1H	554832777	0.67
HORVU1Hr1G094330	1H	555141138	0.66
HORVU1Hr1G075520	1H	511072663	0.74
HORVU1Hr1G095170	1H	557837766	0.57
HORVU1Hr1G090680	1H	546729582	0.87
HORVU1Hr1G090620	1H	546568665	0.88
HORVU1Hr1G093770	1H	553912274	0.69
HORVU1Hr1G086890	1H	538382059	1.15
HORVU1Hr1G094920	1H	556782552	0.61
HORVU1Hr1G086120	1H	536888444	1.15
HORVU1Hr1G091930	1H	549275913	0.82
HORVU1Hr1G090710	1H	546756850	0.87
HORVU1Hr1G087690	1H	539807010	1.04
HORVU1Hr1G084970	1H	534656390	1.36
HORVU1Hr1G090490	1H	546288132	0.88
HORVU1Hr1G085620	1H	535947604	1.26
HORVU1Hr1G074380	1H	507895582	0.68
HORVU1Hr1G093890	1H	554276565	0.68
HORVU1Hr1G074490	1H	508112459	0.69
HORVU1Hr1G077820	1H	518614904	0.73
HORVU1Hr1G085230	1H	535221591	1.32
HORVU1Hr1G090130	1H	545414331	0.89
HORVU1Hr1G092310	1H	550318076	0.8
HORVU1Hr1G089700	1H	544633161	0.9
HORVU1Hr1G092730	1H	551380830	0.77
HORVU1Hr1G081120	1H	527099358	1.07
HORVU1Hr1G089710	1H	544690027	0.9
HORVU1Hr1G082610	1H	529897029	1.28
HORVU1Hr1G075530	1H	511076585	0.74
HORVU1Hr1G074860	1H	509273585	0.72
HORVU1Hr1G075110	1H	509763075	0.73
HORVU1Hr1G076310	1H	513751728	0.85
HORVU1Hr1G092250	1H	550253312	0.8
HORVU1Hr1G078120	1H	519185504	0.72
HORVU1Hr1G082340	1H	529659153	1.26
HORVU1Hr1G077710	1H	518228534	0.75
HORVU1Hr1G083810	1H	532620538	1.42
HORVU1Hr1G090740	1H	546839963	0.87
HORVU1Hr1G087340	1H	539103351	1.1
HORVU1Hr1G075210	1H	510268189	0.74
HORVU1Hr1G080700	1H	526114790	1.03
HORVU1Hr1G093600	1H	553503159	0.7
HORVU1Hr1G079080	1H	522360824	0.75
HORVU1Hr1G092820	1H	551525190	0.77
HORVU1Hr1G094430	1H	555318254	0.65
HORVU1Hr1G088140	1H	541004945	0.96
HORVU1Hr1G078320	1H	519771429	0.71
HORVU1Hr1G093400	1H	552977323	0.72
HORVU1Hr1G092270	1H	550267968	0.8
HORVU1Hr1G075610	1H	511548350	0.74
HORVU1Hr1G094290	1H	554983043	0.66
HORVU1Hr1G093620	1H	553593676	0.7
HORVU1Hr1G089680	1H	544586223	0.9
HORVU1Hr1G095310	1H	558024352	0.57
HORVU1Hr1G084370	1H	533821310	1.4
HORVU1Hr1G078720	1H	520957552	0.71
HORVU1Hr1G074350	1H	507686919	0.68
HORVU1Hr1G079980	1H	524197273	0.85
HORVU1Hr1G076940	1H	516077047	0.85
HORVU1Hr1G073890	1H	505146277	0.65
HORVU1Hr1G075190	1H	510201311	0.74
HORVU1Hr1G093810	1H	554109637	0.68
HORVU1Hr1G089920	1H	544967326	0.9
HORVU1Hr1G077320	1H	517028920	0.81
HORVU1Hr1G079250	1H	522569257	0.75
HORVU1Hr1G083000	1H	530850187	1.36
HORVU1Hr1G075680	1H	511923983	0.74
HORVU1Hr1G091760	1H	548999228	0.83
HORVU1Hr1G083530	1H	531991769	1.41
HORVU1Hr1G077470	1H	517535316	0.78
HORVU1Hr1G091530	1H	548687150	0.84
HORVU1Hr1G075050	1H	509663089	0.73
HORVU1Hr1G090530	1H	546334602	0.88
HORVU1Hr1G090360	1H	545790189	0.89
HORVU1Hr1G077510	1H	517549911	0.78
HORVU1Hr1G086270	1H	537081308	1.15
HORVU1Hr1G078770	1H	521164009	0.71
HORVU1Hr1G082220	1H	528913564	1.17
HORVU1Hr1G093800	1H	554071783	0.68
HORVU1Hr1G076570	1H	514689338	0.87
HORVU1Hr1G076170	1H	513230709	0.83
HORVU1Hr1G092060	1H	549615083	0.82
HORVU1Hr1G086900	1H	538390618	1.15
HORVU1Hr1G078710	1H	520936397	0.71
HORVU1Hr1G076730	1H	515518339	0.87
HORVU1Hr1G089150	1H	543132560	0.89
HORVU1Hr1G079290	1H	522615373	0.76
HORVU1Hr1G084520	1H	534125416	1.39
HORVU1Hr1G090820	1H	547120343	0.87
HORVU1Hr1G086930	1H	538422649	1.15
HORVU1Hr1G076480	1H	514257379	0.87
HORVU1Hr1G091660	1H	548903787	0.83
HORVU1Hr1G083020	1H	530905179	1.36
HORVU1Hr1G079900	1H	523965039	0.83
HORVU1Hr1G083300	1H	531607114	1.4
HORVU1Hr1G084720	1H	534337218	1.38
HORVU1Hr1G075030	1H	509577683	0.73
HORVU1Hr1G075040	1H	509584938	0.73
HORVU1Hr1G077290	1H	516958434	0.81
HORVU1Hr1G076710	1H	515358983	0.87
HORVU1Hr1G076120	1H	513214552	0.83
HORVU1Hr1G079440	1H	523084002	0.78
HORVU1Hr1G089430	1H	543855198	0.89
HORVU1Hr1G091480	1H	548520805	0.84
HORVU1Hr1G089490	1H	543942479	0.89
HORVU1Hr1G089630	1H	544530882	0.9
HORVU1Hr1G080320	1H	525014151	0.91
HORVU1Hr1G078310	1H	519769933	0.71
HORVU1Hr1G078910	1H	521550289	0.72
HORVU1Hr1G084160	1H	533100612	1.42
HORVU1Hr1G089620	1H	544420120	0.9
HORVU1Hr1G076620	1H	514925678	0.87
HORVU1Hr1G074140	1H	506773498	0.67
HORVU1Hr1G090810	1H	547109896	0.87
HORVU1Hr1G075780	1H	512294676	0.77
HORVU1Hr1G082950	1H	530795271	1.35
HORVU1Hr1G091580	1H	548753050	0.84
HORVU1Hr1G074840	1H	509209848	0.72
HORVU1Hr1G091470	1H	548516317	0.84
HORVU1Hr1G085240	1H	535253187	1.32
HORVU1Hr1G085900	1H	536490021	1.2
HORVU1Hr1G095370	1H	558185054	0.56
HORVU1Hr1G074000	1H	506256482	0.66
HORVU1Hr1G088040	1H	540809511	0.97
HORVU1Hr1G093160	1H	552440104	0.74
HORVU1Hr1G083800	1H	532585748	1.42
HORVU1Hr1G088560	1H	541996170	0.91
HORVU1Hr1G094320	1H	555123095	0.66
HORVU1Hr1G079380	1H	522838188	0.77
HORVU1Hr1G077080	1H	516267912	0.85
HORVU1Hr1G095410	1H	558225835	0.56
HORVU1Hr1G085720	1H	536136769	1.24
HORVU1Hr1G079750	1H	523832874	0.82
HORVU1Hr1G095060	1H	557105855	0.6
HORVU1Hr1G076750	1H	515659639	0.86
HORVU1Hr1G083090	1H	531163225	1.38
HORVU1Hr1G085790	1H	536295516	1.22
HORVU1Hr1G080200	1H	524654125	0.88
HORVU1Hr1G091400	1H	548326488	0.84
HORVU1Hr1G082370	1H	529694863	1.26
HORVU1Hr1G093350	1H	552686367	0.73
HORVU1Hr1G090950	1H	547218922	0.87
HORVU1Hr1G088010	1H	540796047	0.97
HORVU1Hr1G076300	1H	513638876	0.85
HORVU1Hr1G076040	1H	513090844	0.82
HORVU1Hr1G079040	1H	522197913	0.74
HORVU1Hr1G075600	1H	511546756	0.74
HORVU1Hr1G076910	1H	515959583	0.86
HORVU1Hr1G094100	1H	554602580	0.67
HORVU1Hr1G085780	1H	536212712	1.23
HORVU1Hr1G079010	1H	522134246	0.74
HORVU1Hr1G080080	1H	524549551	0.88
HORVU1Hr1G075570	1H	511401587	0.74
HORVU1Hr1G090350	1H	545743635	0.89
HORVU1Hr1G088920	1H	543063040	0.89
HORVU1Hr1G082150	1H	528873108	1.17
HORVU1Hr1G083860	1H	532784489	1.42
HORVU1Hr1G081330	1H	527467683	1.07
HORVU1Hr1G085170	1H	535194589	1.33
HORVU1Hr1G085880	1H	536421889	1.21
HORVU1Hr1G080310	1H	524922812	0.91
HORVU1Hr1G093200	1H	552475131	0.74
HORVU1Hr1G088550	1H	541990328	0.91
HORVU1Hr1G078050	1H	519071262	0.72
HORVU1Hr1G086330	1H	537165722	1.16
HORVU1Hr1G094480	1H	555426371	0.65
HORVU1Hr1G093090	1H	552248422	0.74
HORVU1Hr1G092120	1H	549777175	0.81
HORVU1Hr1G084380	1H	533851522	1.4
HORVU1Hr1G080380	1H	525298314	0.94
HORVU1Hr1G083710	1H	532325138	1.42
HORVU1Hr1G080960	1H	526692191	1.06
HORVU1Hr1G095250	1H	557981437	0.57
HORVU1Hr1G093720	1H	553850280	0.69
HORVU1Hr1G082010	1H	528532996	1.12
HORVU1Hr1G084120	1H	533046342	1.42
HORVU1Hr1G085890	1H	536485083	1.2
HORVU1Hr1G095100	1H	557122078	0.59
HORVU1Hr1G086080	1H	536846423	1.15
HORVU1Hr1G083080	1H	531159139	1.38
HORVU1Hr1G074800	1H	509133418	0.72
HORVU1Hr1G079150	1H	522460750	0.75
HORVU1Hr1G077240	1H	516793368	0.82
HORVU1Hr1G080190	1H	524650799	0.88
HORVU1Hr1G087630	1H	539705760	1.05
HORVU1Hr1G087510	1H	539445026	1.07
HORVU1Hr1G085140	1H	535123370	1.33
HORVU1Hr1G094610	1H	555718731	0.64
HORVU1Hr1G094490	1H	555459838	0.65
HORVU1Hr1G084220	1H	533223403	1.42
HORVU1Hr1G089990	1H	545098639	0.9
HORVU1Hr1G076000	1H	512993405	0.82
HORVU1Hr1G081910	1H	528282867	1.09
HORVU1Hr1G089540	1H	544054273	0.89
HORVU1Hr1G091830	1H	549052698	0.83
HORVU1Hr1G074600	1H	508567384	0.7
HORVU1Hr1G078790	1H	521172895	0.71
HORVU1Hr1G081050	1H	526896578	1.07
HORVU1Hr1G076580	1H	514758422	0.87
HORVU1Hr1G089500	1H	543952762	0.89
HORVU1Hr1G078420	1H	520206871	0.71
HORVU1Hr1G074730	1H	509043471	0.72
HORVU1Hr1G092660	1H	551283416	0.77
HORVU1Hr1G078760	1H	521116540	0.71
HORVU1Hr1G077860	1H	518800098	0.73
HORVU1Hr1G074460	1H	508023103	0.68
HORVU1Hr1G087130	1H	538706158	1.13
HORVU1Hr1G075980	1H	512967658	0.82
HORVU1Hr1G090250	1H	545610907	0.89
HORVU1Hr1G081270	1H	527335371	1.07
HORVU1Hr1G083950	1H	532921442	1.42
HORVU1Hr1G082710	1H	530243138	1.31
HORVU1Hr1G075950	1H	512845629	0.81
HORVU1Hr1G082110	1H	528734839	1.15
HORVU1Hr1G076680	1H	515168515	0.87
HORVU1Hr1G082020	1H	528551759	1.13
HORVU1Hr1G080740	1H	526152850	1.03
HORVU1Hr1G091060	1H	547361404	0.86
HORVU1Hr1G093670	1H	553743469	0.7
HORVU1Hr1G084690	1H	534268978	1.38
HORVU1Hr1G091240	1H	547774070	0.86
HORVU1Hr1G091540	1H	548699920	0.84
HORVU1Hr1G079800	1H	523883505	0.83
HORVU1Hr1G095190	1H	557908922	0.57
HORVU1Hr1G088840	1H	542732121	0.89
HORVU1Hr1G090610	1H	546507569	0.88
HORVU1Hr1G088280	1H	541400472	0.94
HORVU1Hr1G078510	1H	520495037	0.71
HORVU1Hr1G082600	1H	529895718	1.28
HORVU1Hr1G076640	1H	515119701	0.87
HORVU1Hr1G084430	1H	533893492	1.4
HORVU1Hr1G077950	1H	518952554	0.72
HORVU1Hr1G079710	1H	523706056	0.81
HORVU1Hr1G088870	1H	542809028	0.89
HORVU1Hr1G079730	1H	523730064	0.82
HORVU1Hr1G079640	1H	523418122	0.8
HORVU1Hr1G083680	1H	532290859	1.42
HORVU1Hr1G082270	1H	529188673	1.21
HORVU1Hr1G089280	1H	543388397	0.89
HORVU1Hr1G087200	1H	538905568	1.12
HORVU1Hr1G090070	1H	545238343	0.89
HORVU1Hr1G076770	1H	515675066	0.86
HORVU1Hr1G081310	1H	527446416	1.07
HORVU1Hr1G074200	1H	507207504	0.67
HORVU1Hr1G085480	1H	535618018	1.29
HORVU1Hr1G075560	1H	511203268	0.74
HORVU1Hr1G081550	1H	527951848	1.06
HORVU1Hr1G081840	1H	528172162	1.07
HORVU1Hr1G074370	1H	507809080	0.68
HORVU1Hr1G079450	1H	523090737	0.78
HORVU1Hr1G074580	1H	508387908	0.7
HORVU1Hr1G089770	1H	544744250	0.9
HORVU1Hr1G092390	1H	550488755	0.79
HORVU1Hr1G084510	1H	534083542	1.39
HORVU1Hr1G080660	1H	525960464	1.01
HORVU1Hr1G082420	1H	529708759	1.26
HORVU1Hr1G077170	1H	516489045	0.84
HORVU1Hr1G088810	1H	542679938	0.89
HORVU1Hr1G089650	1H	544542215	0.9
HORVU1Hr1G092080	1H	549751408	0.81
HORVU1Hr1G081210	1H	527302268	1.07
HORVU1Hr1G083670	1H	532259449	1.41
HORVU1Hr1G093500	1H	553215232	0.71
HORVU1Hr1G091850	1H	549111088	0.83
HORVU1Hr1G080800	1H	526284585	1.04
HORVU1Hr1G093170	1H	552446732	0.74
HORVU1Hr1G078430	1H	520207588	0.71
HORVU1Hr1G084070	1H	533004612	1.42
HORVU1Hr1G087880	1H	540581949	0.98
HORVU1Hr1G093550	1H	553404751	0.71
HORVU1Hr1G085390	1H	535437988	1.31
HORVU1Hr1G078950	1H	521766496	0.73
HORVU1Hr1G091860	1H	549121071	0.83
HORVU1Hr1G092770	1H	551465332	0.77
HORVU1Hr1G087260	1H	538988796	1.11
HORVU1Hr1G095140	1H	557764284	0.58
HORVU1Hr1G092670	1H	551301885	0.77
HORVU1Hr1G076250	1H	513530152	0.84
HORVU1Hr1G079840	1H	523947879	0.83
HORVU1Hr1G080570	1H	525649301	0.98
HORVU1Hr1G092590	1H	550804939	0.79
HORVU1Hr1G087870	1H	540571001	0.98
HORVU1Hr1G085700	1H	536109736	1.24
HORVU1Hr1G085930	1H	536567638	1.19
HORVU1Hr1G076240	1H	513529022	0.84
HORVU1Hr1G083700	1H	532322408	1.42
HORVU1Hr1G089860	1H	544932820	0.9
HORVU1Hr1G077460	1H	517521235	0.78
HORVU1Hr1G086090	1H	536860505	1.15
HORVU1Hr1G087020	1H	538509273	1.14
HORVU1Hr1G087700	1H	539813623	1.04
HORVU1Hr1G082510	1H	529803453	1.27
HORVU1Hr1G093780	1H	553944530	0.69
HORVU1Hr1G083490	1H	531916824	1.41
HORVU1Hr1G093560	1H	553476539	0.7
HORVU1Hr1G085260	1H	535280022	1.32
HORVU1Hr1G091520	1H	548676518	0.84
HORVU1Hr1G091900	1H	549206090	0.83
HORVU1Hr1G083790	1H	532565314	1.42
HORVU1Hr1G088620	1H	542141284	0.91
HORVU1Hr1G087940	1H	540693806	0.97
HORVU1Hr1G091170	1H	547517246	0.86
HORVU1Hr1G094420	1H	555291570	0.65
HORVU1Hr1G093640	1H	553621059	0.7
HORVU1Hr1G074190	1H	507206614	0.67
HORVU1Hr1G091220	1H	547733802	0.86
HORVU1Hr1G086970	1H	538478928	1.15
HORVU1Hr1G089180	1H	543160944	0.89
HORVU1Hr1G087140	1H	538715441	1.13
HORVU1Hr1G084640	1H	534241817	1.39
HORVU1Hr1G073970	1H	505941446	0.66
HORVU1Hr1G077010	1H	516153806	0.85
HORVU1Hr1G092260	1H	550262293	0.8
HORVU1Hr1G081070	1H	527007564	1.07
HORVU1Hr1G092690	1H	551354171	0.77
HORVU1Hr1G095180	1H	557898136	0.57
HORVU1Hr1G074640	1H	508732270	0.71
HORVU1Hr1G093270	1H	552544550	0.73
HORVU1Hr1G092400	1H	550489104	0.79
HORVU1Hr1G075060	1H	509725615	0.73
HORVU1Hr1G087950	1H	540697582	0.97
HORVU1Hr1G093530	1H	553330507	0.71
HORVU1Hr1G074720	1H	509007770	0.72
HORVU1Hr1G088460	1H	541874583	0.92
HORVU1Hr1G094810	1H	556421825	0.62
HORVU1Hr1G085970	1H	536620688	1.18
HORVU1Hr1G092230	1H	550153155	0.8
HORVU1Hr1G092090	1H	549753019	0.81
HORVU1Hr1G081090	1H	527019502	1.07
HORVU1Hr1G074900	1H	509459483	0.73
HORVU1Hr1G090800	1H	547063660	0.87
HORVU1Hr1G080810	1H	526286189	1.04
HORVU1Hr1G076810	1H	515892081	0.86
HORVU1Hr1G078080	1H	519103210	0.72
HORVU1Hr1G091490	1H	548531208	0.84
HORVU1Hr1G078930	1H	521581102	0.72
HORVU1Hr1G073700	1H	504325276	0.65
HORVU1Hr1G091950	1H	549300412	0.82
HORVU1Hr1G077480	1H	517544589	0.78
HORVU1Hr1G093730	1H	553866992	0.69
HORVU1Hr1G090730	1H	546836401	0.87
HORVU1Hr1G092740	1H	551390899	0.77
HORVU1Hr1G074170	1H	507179116	0.67
HORVU1Hr1G074470	1H	508023622	0.68
