#	Marey	map	built	with	the	Hv_IBSC_PGSB_v21	version	of	the	Hordeum	genome	and	the	SNPJHutton	2012	genetic	map
#	Invalid	markers	checked	by	eye												
set	map	mkr	phys	gen	vld												
Hordeum	1H	11_11528	536947615	116.5	TRUE												
Hordeum	1H	11_20021	526705451	101.1	TRUE												
Hordeum	1H	11_20095	429810625	55.9	TRUE												
Hordeum	1H	11_20121	482407642	72.5	TRUE												
Hordeum	1H	11_20138	554760325	131.9	TRUE												
Hordeum	1H	11_20169	516153706	94.6	TRUE												
Hordeum	1H	11_20220	525407362	100.8	TRUE												
Hordeum	1H	11_20229	473582513	67.1	TRUE												
Hordeum	1H	11_20260	324791460	48.1	TRUE												
Hordeum	1H	11_20290	470389531	66.3	TRUE												
Hordeum	1H	11_20371	13581567	21.2	TRUE												
Hordeum	1H	11_20383	547250913	126	TRUE												
Hordeum	1H	11_20427	314308188	48.1	TRUE												
Hordeum	1H	11_20432	451731100	59.1	TRUE												
Hordeum	1H	11_20434	497940324	81.7	TRUE												
Hordeum	1H	11_20502	1913952	4.1	TRUE												
Hordeum	1H	11_20514	37164507	43.1	TRUE												
Hordeum	1H	11_20550	498975662	82.5	TRUE												
Hordeum	1H	11_20657	484964797	74.2	TRUE												
Hordeum	1H	11_20660	329700313	48.2	TRUE												
Hordeum	1H	11_20698	317349096	48.1	TRUE												
Hordeum	1H	11_20712	15607330	27.3	TRUE												
Hordeum	1H	11_20757	272999970	47.9	TRUE												
Hordeum	1H	11_20772	557125644	132.7	TRUE												
Hordeum	1H	11_20798	375902959	48.9	TRUE												
Hordeum	1H	11_20810	364313610	48.6	TRUE												
Hordeum	1H	11_20840	555426553	132.4	TRUE												
Hordeum	1H	11_20844	525478648	100.8	TRUE												
Hordeum	1H	11_20855	81225714	47.5	TRUE												
Hordeum	1H	11_20908	536887344	116.5	TRUE												
Hordeum	1H	11_20909	520489712	97.9	TRUE												
Hordeum	1H	11_20915	555460522	132.4	TRUE												
Hordeum	1H	11_21038	537362806	116.6	TRUE												
Hordeum	1H	11_21053	403309609	51.6	TRUE												
Hordeum	1H	11_21067	1431785	2.3	TRUE												
Hordeum	1H	11_21072	27636662	37.6	TRUE												
Hordeum	1H	11_21134	39019703	43.2	TRUE												
Hordeum	1H	11_21140	539810979	119.1	TRUE												
Hordeum	1H	11_21174	7137635	8.4	TRUE												
Hordeum	1H	11_21193	324191509	48.1	TRUE												
Hordeum	1H	11_21217	379465848	49.6	TRUE												
Hordeum	1H	11_21219	458916428	61.5	TRUE												
Hordeum	1H	11_21226	7228966	8.5	TRUE												
Hordeum	1H	11_21312	355284988	48.4	TRUE												
Hordeum	1H	11_21333	407009083	52.5	TRUE												
Hordeum	1H	11_21357	352305893	48.4	TRUE												
Hordeum	1H	11_21361	380928690	50.4	TRUE												
Hordeum	1H	11_21373	509511424	88.2	TRUE												
Hordeum	1H	11_21392	528122253	103.8	TRUE												
Hordeum	1H	11_21431	453000239	59.4	TRUE												
Hordeum	1H	11_21446	508567719	86.8	TRUE												
Hordeum	1H	12_10159	98741946	47.7	TRUE												
Hordeum	1H	12_10198	401043822	51.4	TRUE												
Hordeum	1H	12_10201	428364193	55.9	TRUE												
Hordeum	1H	12_10235	80265534	47.7	TRUE												
Hordeum	1H	12_10300	321396626	48.1	TRUE												
Hordeum	1H	12_10506	243566375	47.9	TRUE												
Hordeum	1H	12_10636	4285541	5	TRUE												
Hordeum	1H	12_10693	543765502	122	TRUE												
Hordeum	1H	12_10746	556179932	132.5	TRUE												
Hordeum	1H	12_10905	529829695	106.2	TRUE												
Hordeum	1H	12_11011	5770204	6	TRUE												
Hordeum	1H	12_11169	361360595	48.5	TRUE												
Hordeum	1H	12_11301	77984995	47.5	TRUE												
Hordeum	1H	12_11443	538890455	117.8	TRUE												
Hordeum	1H	12_11496	551836652	129.7	TRUE												
Hordeum	1H	12_20187	520008962	97.5	TRUE												
Hordeum	1H	12_20429	558414475	132.7	TRUE												
Hordeum	1H	12_20599	553959547	130.7	TRUE												
Hordeum	1H	12_30043	317349862	48.1	TRUE												
Hordeum	1H	12_30110	374864785	48.9	TRUE												
Hordeum	1H	12_30231	556387095	132.5	TRUE												
Hordeum	1H	12_30241	17000653	27.4	TRUE												
Hordeum	1H	12_30304	437281728	57.3	TRUE												
Hordeum	1H	12_30336	31676923	40.1	TRUE												
Hordeum	1H	12_30343	401872471	51.6	TRUE												
Hordeum	1H	12_30350	368821886	48.8	TRUE												
Hordeum	1H	12_30403	540195468	119.1	TRUE												
Hordeum	1H	12_30404	324791460	48.1	TRUE												
Hordeum	1H	12_30406	376377160	49.1	TRUE												
Hordeum	1H	12_30436	109055279	47.8	TRUE												
Hordeum	1H	12_30438	98026235	47.7	TRUE												
Hordeum	1H	12_30478	381207730	50.4	TRUE												
Hordeum	1H	12_30499	381209230	50.4	TRUE												
Hordeum	1H	12_30505	471473363	66.3	TRUE												
Hordeum	1H	12_30517	553137219	130.6	TRUE												
Hordeum	1H	12_30546	508566982	86.8	TRUE												
Hordeum	1H	12_30562	315508280	48.1	TRUE												
Hordeum	1H	12_30588	10747464	15.1	TRUE												
Hordeum	1H	12_30683	69960449	46.6	TRUE												
Hordeum	1H	12_30694	375075126	48.9	TRUE												
Hordeum	1H	12_30710	394416611	50.8	TRUE												
Hordeum	1H	12_30715	1562127	3.2	TRUE												
Hordeum	1H	12_30742	473690049	66.9	TRUE												
Hordeum	1H	12_30750	380767247	50.4	TRUE												
Hordeum	1H	12_30753	427973108	55.7	TRUE												
Hordeum	1H	12_30762	130506760	47.8	TRUE												
Hordeum	1H	12_30786	380275827	50.4	TRUE												
Hordeum	1H	12_30796	84338596	47.5	TRUE												
Hordeum	1H	12_30821	419012333	54.5	TRUE												
Hordeum	1H	12_30918	8935905	11.8	TRUE												
Hordeum	1H	12_30933	5770474	6	TRUE												
Hordeum	1H	12_30934	557764749	133.1	TRUE												
Hordeum	1H	12_30948	12554357	18.5	TRUE												
Hordeum	1H	12_30969	977915	0	TRUE												
Hordeum	1H	12_31134	357285032	48.5	TRUE												
Hordeum	1H	12_31144	4653990	5	TRUE												
Hordeum	1H	12_31149	8468465	10.9	TRUE												
Hordeum	1H	12_31160	498571383	82.5	TRUE												
Hordeum	1H	12_31163	510050548	89	TRUE												
Hordeum	1H	12_31177	28643782	38	TRUE												
Hordeum	1H	12_31179	449874188	58.4	TRUE												
Hordeum	1H	12_31192	512294799	90.4	TRUE												
Hordeum	1H	12_31208	331415858	48.2	TRUE												
Hordeum	1H	12_31276	20336402	32.2	TRUE												
Hordeum	1H	12_31319	513231576	92.4	TRUE												
Hordeum	1H	12_31377	540278363	119.1	TRUE												
Hordeum	1H	12_31464	459030191	61.5	TRUE												
Hordeum	1H	12_31467	66850934	46.5	TRUE												
Hordeum	1H	SCRI_RS_100503	411148909	53.3	TRUE												
Hordeum	1H	SCRI_RS_106754	522843786	100.1	TRUE												
Hordeum	1H	SCRI_RS_109060	379332362	49.4	TRUE												
Hordeum	1H	SCRI_RS_10956	550242008	128.3	TRUE												
Hordeum	1H	SCRI_RS_114047	31685164	40.1	TRUE												
Hordeum	1H	SCRI_RS_11615	36439607	42.2	TRUE												
Hordeum	1H	SCRI_RS_116685	360030236	48.5	TRUE												
Hordeum	1H	SCRI_RS_117283	556056250	132.5	TRUE												
Hordeum	1H	SCRI_RS_118168	377585383	49.1	TRUE												
Hordeum	1H	SCRI_RS_118785	432305897	56.1	TRUE												
Hordeum	1H	SCRI_RS_119312	9160405	12.5	TRUE												
Hordeum	1H	SCRI_RS_120059	1025718	0.2	TRUE												
Hordeum	1H	SCRI_RS_120481	527800988	103.4	TRUE												
Hordeum	1H	SCRI_RS_120605	458110754	61.5	TRUE												
Hordeum	1H	SCRI_RS_121048	508312976	86.5	TRUE												
Hordeum	1H	SCRI_RS_121978	419036410	54.4	TRUE												
Hordeum	1H	SCRI_RS_122889	357906648	48.5	TRUE												
Hordeum	1H	SCRI_RS_124377	328628301	48.2	TRUE												
Hordeum	1H	SCRI_RS_124926	14371313	27.1	TRUE												
Hordeum	1H	SCRI_RS_125339	493364816	80.2	TRUE												
Hordeum	1H	SCRI_RS_125407	362736048	48.6	TRUE												
Hordeum	1H	SCRI_RS_127646	536427202	116.3	TRUE												
Hordeum	1H	SCRI_RS_12873	434874650	57.3	TRUE												
Hordeum	1H	SCRI_RS_130590	353968495	48.4	TRUE												
Hordeum	1H	SCRI_RS_130592	11458045	16.4	TRUE												
Hordeum	1H	SCRI_RS_130600	11457743	16.4	TRUE												
Hordeum	1H	SCRI_RS_130666	425806348	55.5	TRUE												
Hordeum	1H	SCRI_RS_132028	448248860	58.2	TRUE												
Hordeum	1H	SCRI_RS_132461	39913293	43.5	TRUE												
Hordeum	1H	SCRI_RS_133886	462899847	62.3	TRUE												
Hordeum	1H	SCRI_RS_135092	500890884	83.6	TRUE												
Hordeum	1H	SCRI_RS_136856	516793811	95.6	TRUE												
Hordeum	1H	SCRI_RS_137116	536426484	116.3	TRUE												
Hordeum	1H	SCRI_RS_138010	513090731	92.2	TRUE												
Hordeum	1H	SCRI_RS_138118	414058636	53.5	TRUE												
Hordeum	1H	SCRI_RS_138691	333135439	48.2	TRUE												
Hordeum	1H	SCRI_RS_139733	528031778	103.8	TRUE												
Hordeum	1H	SCRI_RS_139785	98738231	47.7	TRUE												
Hordeum	1H	SCRI_RS_140837	36073804	41.9	TRUE												
Hordeum	1H	SCRI_RS_141140	38111916	43.1	TRUE												
Hordeum	1H	SCRI_RS_141511	314034291	48.1	TRUE												
Hordeum	1H	SCRI_RS_14227	15691817	27.5	TRUE												
Hordeum	1H	SCRI_RS_142282	514098364	93.1	TRUE												
Hordeum	1H	SCRI_RS_143790	554561885	131.9	TRUE												
Hordeum	1H	SCRI_RS_144315	505150504	85.8	TRUE												
Hordeum	1H	SCRI_RS_1445	410433523	52.7	TRUE												
Hordeum	1H	SCRI_RS_145026	514266568	93.1	TRUE												
Hordeum	1H	SCRI_RS_145305	415042753	53.7	TRUE												
Hordeum	1H	SCRI_RS_145336	448694456	58.4	TRUE												
Hordeum	1H	SCRI_RS_146959	523428145	100.1	TRUE												
Hordeum	1H	SCRI_RS_147042	36948325	43.1	TRUE												
Hordeum	1H	SCRI_RS_147611	539381333	118.3	TRUE												
Hordeum	1H	SCRI_RS_14834	384255125	50.6	TRUE												
Hordeum	1H	SCRI_RS_148600	380771324	50.4	TRUE												
Hordeum	1H	SCRI_RS_148733	10236703	15.1	TRUE												
Hordeum	1H	SCRI_RS_149726	305524938	48.1	TRUE												
Hordeum	1H	SCRI_RS_149971	103520348	47.7	TRUE												
Hordeum	1H	SCRI_RS_150226	16644370	27.4	TRUE												
Hordeum	1H	SCRI_RS_150786	550268408	128.3	TRUE												
Hordeum	1H	SCRI_RS_150935	556384905	132.5	TRUE												
Hordeum	1H	SCRI_RS_151764	67297774	46.6	TRUE												
Hordeum	1H	SCRI_RS_152795	420364483	54.9	TRUE												
Hordeum	1H	SCRI_RS_153785	33444893	41.5	TRUE												
Hordeum	1H	SCRI_RS_153896	555421485	132.4	TRUE												
Hordeum	1H	SCRI_RS_154140	500636449	83	TRUE												
Hordeum	1H	SCRI_RS_154528	524725233	100.7	TRUE												
Hordeum	1H	SCRI_RS_155382	18358061	28.4	TRUE												
Hordeum	1H	SCRI_RS_155439	345351439	48.4	TRUE												
Hordeum	1H	SCRI_RS_155758	539454103	118.5	TRUE												
Hordeum	1H	SCRI_RS_155997	528880379	104.7	TRUE												
Hordeum	1H	SCRI_RS_156208	481942863	72.4	TRUE												
Hordeum	1H	SCRI_RS_156506	408926337	52.5	TRUE												
Hordeum	1H	SCRI_RS_157039	464421881	62.8	TRUE												
Hordeum	1H	SCRI_RS_157246	500971593	83.7	TRUE												
Hordeum	1H	SCRI_RS_157757	11547609	17.3	TRUE												
Hordeum	1H	SCRI_RS_157953	529837615	106.2	TRUE												
Hordeum	1H	SCRI_RS_158003	360661181	48.5	TRUE												
Hordeum	1H	SCRI_RS_158298	555420431	132.4	TRUE												
Hordeum	1H	SCRI_RS_159031	539092721	118.1	TRUE												
Hordeum	1H	SCRI_RS_159201	468817858	66.1	TRUE												
Hordeum	1H	SCRI_RS_160234	479978067	70.5	TRUE												
Hordeum	1H	SCRI_RS_160466	360035915	48.5	TRUE												
Hordeum	1H	SCRI_RS_160475	540988845	119.7	TRUE												
Hordeum	1H	SCRI_RS_160545	36462612	42.4	TRUE												
Hordeum	1H	SCRI_RS_160916	78702678	47.5	TRUE												
Hordeum	1H	SCRI_RS_161388	525403845	100.8	TRUE												
Hordeum	1H	SCRI_RS_161643	394199133	50.8	TRUE												
Hordeum	1H	SCRI_RS_162524	6690326	8.6	TRUE												
Hordeum	1H	SCRI_RS_162628	549777897	128	TRUE												
Hordeum	1H	SCRI_RS_162765	539694540	119	TRUE												
Hordeum	1H	SCRI_RS_163127	358151617	48.5	TRUE												
Hordeum	1H	SCRI_RS_165072	414061664	53.5	TRUE												
Hordeum	1H	SCRI_RS_165588	539695184	119	TRUE												
Hordeum	1H	SCRI_RS_165811	24844248	37	TRUE												
Hordeum	1H	SCRI_RS_166168	507630839	86	TRUE												
Hordeum	1H	SCRI_RS_167877	391319372	50.8	TRUE												
Hordeum	1H	SCRI_RS_168172	531491751	107.3	TRUE												
Hordeum	1H	SCRI_RS_169091	15066450	27.1	TRUE												
Hordeum	1H	SCRI_RS_169881	544041369	122.1	TRUE												
Hordeum	1H	SCRI_RS_170110	537711544	116.8	TRUE												
Hordeum	1H	SCRI_RS_170389	508320274	86.5	TRUE												
Hordeum	1H	SCRI_RS_170869	33846694	41.5	TRUE												
Hordeum	1H	SCRI_RS_170878	33847082	41.5	TRUE												
Hordeum	1H	SCRI_RS_171221	17332840	27.4	TRUE												
Hordeum	1H	SCRI_RS_171501	519278431	97.7	TRUE												
Hordeum	1H	SCRI_RS_171543	352318729	48.4	TRUE												
Hordeum	1H	SCRI_RS_173813	526694742	101.1	TRUE												
Hordeum	1H	SCRI_RS_175218	556480813	132.6	TRUE												
Hordeum	1H	SCRI_RS_175487	462193195	61.8	TRUE												
Hordeum	1H	SCRI_RS_175646	524015572	100.6	TRUE												
Hordeum	1H	SCRI_RS_176006	554709404	132.1	TRUE												
Hordeum	1H	SCRI_RS_17924	94329073	47.7	TRUE												
Hordeum	1H	SCRI_RS_180349	456570637	60.8	TRUE												
Hordeum	1H	SCRI_RS_181353	488815380	76.8	TRUE												
Hordeum	1H	SCRI_RS_182206	549786855	128	TRUE												
Hordeum	1H	SCRI_RS_182431	427395732	55.7	TRUE												
Hordeum	1H	SCRI_RS_182603	15065044	27.1	TRUE												
Hordeum	1H	SCRI_RS_182631	74327742	46.8	TRUE												
Hordeum	1H	SCRI_RS_182656	11457738	16.4	TRUE												
Hordeum	1H	SCRI_RS_183171	37378707	43.1	TRUE												
Hordeum	1H	SCRI_RS_184058	549775316	128	TRUE												
Hordeum	1H	SCRI_RS_184274	7471254	9.9	TRUE												
Hordeum	1H	SCRI_RS_184784	36171029	41.9	TRUE												
Hordeum	1H	SCRI_RS_187051	554062585	130.7	TRUE												
Hordeum	1H	SCRI_RS_187264	37165144	43.1	TRUE												
Hordeum	1H	SCRI_RS_188909	516309132	94.9	TRUE												
Hordeum	1H	SCRI_RS_188937	74325991	46.8	TRUE												
Hordeum	1H	SCRI_RS_189168	509307825	87.5	TRUE												
Hordeum	1H	SCRI_RS_189248	355878453	48.4	TRUE												
Hordeum	1H	SCRI_RS_189483	35725028	41.6	TRUE												
Hordeum	1H	SCRI_RS_189506	13588172	21.3	TRUE												
Hordeum	1H	SCRI_RS_189586	330769878	48.2	TRUE												
Hordeum	1H	SCRI_RS_189898	358149096	48.5	TRUE												
Hordeum	1H	SCRI_RS_189920	358151994	48.5	TRUE												
Hordeum	1H	SCRI_RS_189967	540716304	119.1	TRUE												
Hordeum	1H	SCRI_RS_192730	525928795	100.9	TRUE												
Hordeum	1H	SCRI_RS_1929	7841467	9.9	TRUE												
Hordeum	1H	SCRI_RS_193392	31685463	40.1	TRUE												
Hordeum	1H	SCRI_RS_193401	410775821	52.7	TRUE												
Hordeum	1H	SCRI_RS_193640	313064950	48.1	TRUE												
Hordeum	1H	SCRI_RS_194015	452790461	59.1	TRUE												
Hordeum	1H	SCRI_RS_194326	4405295	5	TRUE												
Hordeum	1H	SCRI_RS_195067	556782667	132.7	TRUE												
Hordeum	1H	SCRI_RS_195200	507977141	86.5	TRUE												
Hordeum	1H	SCRI_RS_195238	471968471	66.3	TRUE												
Hordeum	1H	SCRI_RS_197263	509664704	88.9	TRUE												
Hordeum	1H	SCRI_RS_197337	525677816	100.8	TRUE												
Hordeum	1H	SCRI_RS_198546	383207519	50.6	TRUE												
Hordeum	1H	SCRI_RS_199178	39314012	43.3	TRUE												
Hordeum	1H	SCRI_RS_199179	39312377	43.3	TRUE												
Hordeum	1H	SCRI_RS_199689	513210386	92.5	TRUE												
Hordeum	1H	SCRI_RS_199945	557912768	132.9	TRUE												
Hordeum	1H	SCRI_RS_201072	414060758	53.5	TRUE												
Hordeum	1H	SCRI_RS_201865	537712396	116.8	TRUE												
Hordeum	1H	SCRI_RS_204810	367826176	48.8	TRUE												
Hordeum	1H	SCRI_RS_205669	12075507	17.8	TRUE												
Hordeum	1H	SCRI_RS_205816	36460442	42.4	TRUE												
Hordeum	1H	SCRI_RS_206337	554283367	130.8	TRUE												
Hordeum	1H	SCRI_RS_206896	526672209	101.1	TRUE												
Hordeum	1H	SCRI_RS_207081	415035097	53.7	TRUE												
Hordeum	1H	SCRI_RS_207335	410774420	52.7	TRUE												
Hordeum	1H	SCRI_RS_207416	547198473	126	TRUE												
Hordeum	1H	SCRI_RS_209524	508771890	86.8	TRUE												
Hordeum	1H	SCRI_RS_213103	339655578	48.2	TRUE												
Hordeum	1H	SCRI_RS_213455	415225482	53.7	TRUE												
Hordeum	1H	SCRI_RS_213675	511726333	90.2	TRUE												
Hordeum	1H	SCRI_RS_21483	427145216	55.5	TRUE												
Hordeum	1H	SCRI_RS_216088	544588704	122.2	TRUE												
Hordeum	1H	SCRI_RS_218473	528106319	103.8	TRUE												
Hordeum	1H	SCRI_RS_219043	358992874	48.5	TRUE												
Hordeum	1H	SCRI_RS_219685	456730031	60.8	TRUE												
Hordeum	1H	SCRI_RS_219889	528038219	103.8	TRUE												
Hordeum	1H	SCRI_RS_221609	367456204	48.8	TRUE												
Hordeum	1H	SCRI_RS_224392	533870892	112.3	TRUE												
Hordeum	1H	SCRI_RS_224686	7844028	9.9	TRUE												
Hordeum	1H	SCRI_RS_225107	414865856	53.7	TRUE												
Hordeum	1H	SCRI_RS_225431	498781286	82.5	TRUE												
Hordeum	1H	SCRI_RS_229636	415229087	53.7	TRUE												
Hordeum	1H	SCRI_RS_229932	360883330	48.5	TRUE												
Hordeum	1H	SCRI_RS_232577	3666934	5	TRUE												
Hordeum	1H	SCRI_RS_235724	518231786	95.8	TRUE												
Hordeum	1H	SCRI_RS_235968	516477501	95.2	TRUE												
Hordeum	1H	SCRI_RS_236104	427095206	55.5	TRUE												
Hordeum	1H	SCRI_RS_236175	554148132	130.7	TRUE												
Hordeum	1H	SCRI_RS_236551	448758318	58.4	TRUE												
Hordeum	1H	SCRI_RS_236576	500894427	83.7	TRUE												
Hordeum	1H	SCRI_RS_236623	507639342	86	TRUE												
Hordeum	1H	SCRI_RS_237999	431987761	56	TRUE												
Hordeum	1H	SCRI_RS_238125	528280332	104.2	TRUE												
Hordeum	1H	SCRI_RS_239784	19951710	30.5	TRUE												
Hordeum	1H	SCRI_RS_2945	433181011	56.4	TRUE												
Hordeum	1H	SCRI_RS_4522	538880071	117.8	TRUE												
Hordeum	1H	SCRI_RS_4928	554563783	131.9	TRUE												
Hordeum	1H	SCRI_RS_56976	406534961	52.3	TRUE												
Hordeum	1H	SCRI_RS_60145	4184290	5	TRUE												
Hordeum	1H	SCRI_RS_60293	4131373	5	TRUE												
Hordeum	1H	SCRI_RS_66630	4164495	5	TRUE												
Hordeum	1H	SCRI_RS_6913	518942490	96.9	TRUE												
Hordeum	1H	SCRI_RS_7197	346196655	48.4	TRUE												
Hordeum	1H	SCRI_RS_7813	352312973	48.4	TRUE												
Hordeum	1H	SCRI_RS_82327	89130442	47.7	TRUE												
Hordeum	1H	SCRI_RS_85391	455261840	60.8	TRUE												
Hordeum	1H	SCRI_RS_85917	80293616	47.7	TRUE												
Hordeum	1H	SCRI_RS_88375	16450645	27.4	TRUE												
Hordeum	1H	SCRI_RS_907	415015428	53.7	TRUE												
Hordeum	1H	SCRI_RS_9158	494883109	81	TRUE												
Hordeum	1H	SCRI_RS_91596	527952680	103.8	TRUE												
Hordeum	1H	SCRI_RS_9480	39310922	43.3	TRUE												
Hordeum	2H	11_10012	219489966	55.9	TRUE												
Hordeum	2H	11_10070	202976499	55.6	TRUE												
Hordeum	2H	11_10072	751886787	141.6	TRUE												
Hordeum	2H	11_10085	758851055	146.2	TRUE												
Hordeum	2H	11_10138	677197316	89.8	TRUE												
Hordeum	2H	11_10191	532288289	57.4	TRUE												
Hordeum	2H	11_10196	636433774	70.8	TRUE												
Hordeum	2H	11_10214	672009556	86.6	TRUE												
Hordeum	2H	11_10234	90243000	50.9	TRUE												
Hordeum	2H	11_10287	651372755	79.9	TRUE												
Hordeum	2H	11_10297	83431627	50.9	TRUE												
Hordeum	2H	11_10317	383104840	56.5	TRUE												
Hordeum	2H	11_10325	108479511	53.3	TRUE												
Hordeum	2H	11_10329	755520933	144.3	TRUE												
Hordeum	2H	11_10376	725655512	124.3	TRUE												
Hordeum	2H	11_10399	50467754	39.7	TRUE												
Hordeum	2H	11_10404	708297390	109.8	TRUE												
Hordeum	2H	11_10429	704365928	106.4	TRUE												
Hordeum	2H	11_10475	656414034	81.5	TRUE												
Hordeum	2H	11_10498	82437223	50.9	TRUE												
Hordeum	2H	11_10525	49988534	38.8	TRUE												
Hordeum	2H	11_10538	707452624	109.4	TRUE												
Hordeum	2H	11_10566	739142893	133.3	TRUE												
Hordeum	2H	11_10602	197904597	55.5	TRUE												
Hordeum	2H	11_10624	226796699	55.9	TRUE												
Hordeum	2H	11_10625	738362548	132.6	TRUE												
Hordeum	2H	11_10632	544617620	59.1	TRUE												
Hordeum	2H	11_10648	52786444	40.4	TRUE												
Hordeum	2H	11_10656	720349512	119.8	TRUE												
Hordeum	2H	11_10685	516165724	57	TRUE												
Hordeum	2H	11_10692	542984508	58.8	TRUE												
Hordeum	2H	11_10707	707268000	109.3	TRUE												
Hordeum	2H	11_10714	742203860	135.6	TRUE												
Hordeum	2H	11_10731	701963123	107.2	TRUE												
Hordeum	2H	11_10733	107638923	53.2	TRUE												
Hordeum	2H	11_10791	750535067	141.1	TRUE												
Hordeum	2H	11_10796	192278372	55.5	TRUE												
Hordeum	2H	11_10818	636549210	70.8	TRUE												
Hordeum	2H	11_10823	647456940	76.8	TRUE												
Hordeum	2H	11_10837	51957324	40.1	TRUE												
Hordeum	2H	11_10876	682222549	94.3	TRUE												
Hordeum	2H	11_10909	545242939	58.8	TRUE												
Hordeum	2H	11_10916	708638025	110.5	TRUE												
Hordeum	2H	11_10919	52014030	40.1	TRUE												
Hordeum	2H	11_10952	631976772	69.3	TRUE												
Hordeum	2H	11_10988	702028528	107.4	TRUE												
Hordeum	2H	11_10989	702156085	107.2	TRUE												
Hordeum	2H	11_10990	702100845	106.4	TRUE												
Hordeum	2H	11_11015	115322334	54.2	TRUE												
Hordeum	2H	11_11023	742092700	135.6	TRUE												
Hordeum	2H	11_11043	701937365	107.2	TRUE												
Hordeum	2H	11_11046	205975238	55.5	TRUE												
Hordeum	2H	11_11073	50233842	39.4	TRUE												
Hordeum	2H	11_11133	185517764	55.7	TRUE												
Hordeum	2H	11_11178	373690428	56.5	TRUE												
Hordeum	2H	11_11214	647135854	76.8	TRUE												
Hordeum	2H	11_11236	705262924	107	TRUE												
Hordeum	2H	11_11250	682243810	94	TRUE												
Hordeum	2H	11_11307	678192598	91	TRUE												
Hordeum	2H	11_11354	248552965	56.4	TRUE												
Hordeum	2H	11_11533	655112436	80.9	TRUE												
Hordeum	2H	11_20032	406850796	56.5	TRUE												
Hordeum	2H	11_20039	235963453	55.9	TRUE												
Hordeum	2H	11_20080	673846506	88.5	TRUE												
Hordeum	2H	11_20086	681044282	92.2	TRUE												
Hordeum	2H	11_20107	19656489	12.7	TRUE												
Hordeum	2H	11_20112	18589256	12.1	TRUE												
Hordeum	2H	11_20160	246219296	56.4	TRUE												
Hordeum	2H	11_20173	47286510	38.1	TRUE												
Hordeum	2H	11_20293	196891840	137.7	FALSE												
Hordeum	2H	11_20340	651058560	79.9	TRUE												
Hordeum	2H	11_20366	720345060	119.8	TRUE												
Hordeum	2H	11_20374	545240742	58.8	TRUE												
Hordeum	2H	11_20390	520261737	57	TRUE												
Hordeum	2H	11_20417	254972206	56.4	TRUE												
Hordeum	2H	11_20438	535553641	57.9	TRUE												
Hordeum	2H	11_20442	547569286	59.1	TRUE												
Hordeum	2H	11_20458	240221324	56.4	TRUE												
Hordeum	2H	11_20500	183381488	55.5	TRUE												
Hordeum	2H	11_20511	711931346	113.5	TRUE												
Hordeum	2H	11_20528	621115373	66.4	TRUE												
Hordeum	2H	11_20532	513918258	57.1	TRUE												
Hordeum	2H	11_20585	494259017	57.2	TRUE												
Hordeum	2H	11_20590	733665592	129.7	TRUE												
