poscM Chromosome Start End GenDens
0.089 chr1H 15390261 15407344 17083
0.091 chr1H 31352563 31371929 19366
0.092 chr1H 7855293 7856037 744
0.094 chr1H 8031960 8032175 215
0.095 chr1H 24196858 24213832 16974
0.096 chr1H 8097320 8099292 1972
0.098 chr1H 16506850 16509841 2991
0.1 chr1H 33405529 33419260 13731
0.101 chr1H 16806117 16807190 1073
0.102 chr1H 33844398 33861105 16707
0.103 chr1H 17053967 17056251 2284
0.104 chr1H 17195389 17202383 6994
0.105 chr1H 25967303 25981835 14532
0.106 chr1H 8734307 8748491 14184
0.107 chr1H 35062737 35075968 13231
0.109 chr1H 8912375 8919563 7188
0.11 chr1H 8929487 8937936 8449
0.111 chr1H 8991852 8992097 245
0.112 chr1H 9050450 9083053 32603
0.113 chr1H 18252341 18254885 2544
0.114 chr1H 18323610 18333818 10208
0.115 chr1H 46224769 46241878 17109
0.118 chr1H 18782930 18785007 2077
0.121 chr1H 19131732 19135675 3943
0.122 chr1H 19205150 19214217 9067
0.123 chr1H 28993728 28999567 5839
0.126 chr1H 9795076 9797322 2246
0.127 chr1H 9845940 9851287 5347
0.128 chr1H 19885945 19901110 15165
0.131 chr1H 20140984 20142793 1809
0.132 chr1H 10157358 10159069 1711
0.133 chr1H 40778146 40789590 11444
0.134 chr1H 30740183 30753706 13523
0.144 chr1H 21486724 21497008 10284
0.145 chr1H 10765973 10768127 2154
0.149 chr1H 10962741 10963499 758
0.151 chr1H 11022546 11023994 1448
0.153 chr1H 11120827 11121844 1017
0.154 chr1H 11138897 11142264 3367
0.155 chr1H 33517229 33527409 10180
0.156 chr1H 22431820 22499487 67667
0.157 chr1H 11252992 11253607 615
0.159 chr1H 11354917 11370257 15340
0.16 chr1H 11373696 11373993 297
0.162 chr1H 11457345 11458493 1148
0.163 chr1H 23008315 23017540 9225
0.164 chr1H 34599664 34606339 6675
0.165 chr1H 11579708 11582821 3113
0.167 chr1H 11662347 11665843 3496
0.168 chr1H 11688713 11691059 2346
0.171 chr1H 23605947 23611441 5494
0.172 chr1H 11822459 11824892 2433
0.175 chr1H 23897266 23901018 3752
0.176 chr1H 11979974 12061546 81572
0.177 chr1H 24074139 24079589 5450
0.178 chr1H 24154500 24170758 16258
0.179 chr1H 12114085 12114647 562
0.187 chr1H 24889853 24895383 5530
0.188 chr1H 74942556 74971885 29329
0.19 chr1H 25119767 25125923 6156
0.191 chr1H 12627978 12628196 218
0.194 chr1H 12718452 12719313 861
0.199 chr1H 12950868 12954667 3799
0.2 chr1H 26004895 26019701 14806
0.201 chr1H 13034781 13206635 171854
0.202 chr1H 13072004 13072875 871
0.203 chr1H 26254177 26256767 2590
0.205 chr1H 13231548 13232892 1344
0.207 chr1H 13328048 13334311 6263
0.209 chr1H 13396127 13396623 496
0.211 chr1H 27018726 27042034 23308
0.212 chr1H 27147027 27155185 8158
0.213 chr1H 54367952 54379518 11566
0.215 chr1H 27377740 27383309 5569
0.216 chr1H 27469385 27479195 9810
0.218 chr1H 13855397 13855967 570
0.221 chr1H 27992721 27997455 4734
0.222 chr1H 14039870 14040554 684
0.224 chr1H 14152477 14154601 2124
0.226 chr1H 14277312 14283089 5777
0.228 chr1H 28713098 28720139 7041
0.229 chr1H 14418805 14427267 8462
0.234 chr1H 14636011 14636149 138
0.242 chr1H 15064462 15066976 2514
0.245 chr1H 30529622 30530114 492
0.246 chr1H 15304943 15305722 779
0.249 chr1H 15518236 15518592 356
0.25 chr1H 15525075 15525308 233
0.251 chr1H 31210191 31223325 13134
0.252 chr1H 47080409 47094209 13800
0.258 chr1H 32115442 32121725 6283
0.264 chr1H 49335408 49343599 8191
0.266 chr1H 16614810 16617902 3092
0.267 chr1H 16641726 16646282 4556
0.27 chr1H 50508659 50512793 4134
0.271 chr1H 16907076 16910857 3781
0.273 chr1H 33978369 33980698 2329
0.276 chr1H 51617638 51635231 17593
0.28 chr1H 17447097 17449114 2017
0.281 chr1H 17566211 17571933 5722
0.282 chr1H 52788464 52794770 6306
0.283 chr1H 35382966 35385608 2642
0.286 chr1H 53724300 53738702 14402
0.289 chr1H 18102516 18109705 7189
0.29 chr1H 18158290 18163388 5098
0.292 chr1H 18353003 18360045 7042
0.293 chr1H 36806973 36813897 6924
0.294 chr1H 110854824 110872162 17338
0.295 chr1H 55705349 55712272 6923
0.296 chr1H 74581566 74588846 7280
0.298 chr1H 56369608 56382231 12623
0.299 chr1H 37751911 37755499 3588
0.302 chr1H 19120683 19123537 2854
0.305 chr1H 19369458 19370979 1521
0.306 chr1H 38932852 38949196 16344
0.308 chr1H 19666235 19669353 3118
0.311 chr1H 19946901 19947713 812
0.312 chr1H 59968532 59978666 10134
0.313 chr1H 20111975 20112185 210
0.314 chr1H 121115199 121132896 17697
0.315 chr1H 60749577 60762548 12971
0.316 chr1H 61089751 61091773 2022
0.317 chr1H 61366194 61388977 22783
0.319 chr1H 41375763 41382883 7120
0.32 chr1H 103823742 103826837 3095
0.322 chr1H 41964355 41970151 5796
0.323 chr1H 21102772 21103759 987
0.324 chr1H 21230396 21230797 401
0.325 chr1H 107072615 107090910 18295
0.326 chr1H 43029449 43036600 7151
0.328 chr1H 43537678 43546635 8957
0.329 chr1H 21875477 21875923 446
0.33 chr1H 22031182 22032411 1229
0.331 chr1H 44314296 44317031 2735
0.332 chr1H 66575672 66691542 115870
0.334 chr1H 45085476 45090946 5470
0.335 chr1H 90670374 90691385 21011
0.337 chr1H 46062378 46066750 4372
0.338 chr1H 139105039 139128975 23936
0.339 chr1H 23326791 23327917 1126
0.34 chr1H 70655883 70661995 6112
0.342 chr1H 47629294 47640691 11397
0.343 chr1H 23869533 23871529 1996
0.344 chr1H 96132965 96144266 11301
0.346 chr1H 24303106 24303651 545
0.347 chr1H 24444001 24445742 1741
0.348 chr1H 24518382 24519271 889
0.349 chr1H 73944952 73949809 4857
0.35 chr1H 98818939 98824558 5619
0.353 chr1H 50099652 50108416 8764
0.356 chr1H 50660765 50673035 12270
0.357 chr1H 76216736 76227453 10717
0.358 chr1H 25534752 25545143 10391
0.361 chr1H 103730373 103754681 24308
0.362 chr1H 104012153 104021002 8849
0.363 chr1H 157358673 157366932 8259
0.364 chr1H 26318123 26318416 293
0.365 chr1H 26485431 26492426 6995
0.366 chr1H 26659342 26663225 3883
0.367 chr1H 160453698 160456515 2817
0.368 chr1H 53710836 53725261 14425
0.369 chr1H 27069862 27075385 5523
0.371 chr1H 191918582 191945654 27072
0.372 chr1H 55275486 55281311 5825
0.373 chr1H 27684503 27685760 1257
0.374 chr1H 195179840 195198594 18754
0.375 chr1H 140510265 140533422 23157
0.376 chr1H 84770876 84783154 12278
0.378 chr1H 57233327 57238938 5611
0.379 chr1H 86316102 86323047 6945
0.38 chr1H 28887974 28895056 7082
0.381 chr1H 87344042 87355514 11472
0.382 chr1H 29359791 29361653 1862
0.384 chr1H 29583404 29584107 703
0.385 chr1H 89550431 89566891 16460
0.386 chr1H 89779048 89781105 2057
0.387 chr1H 150873631 150881522 7891
0.388 chr1H 60559478 60568678 9200
0.389 chr1H 91727511 91736256 8745
0.39 chr1H 30733959 30734716 757
0.391 chr1H 185054257 185065159 10902
0.392 chr1H 62034523 62035247 724
0.393 chr1H 124741431 124749641 8210
0.394 chr1H 125555718 125568313 12595
0.395 chr1H 189900942 189912836 11894
0.397 chr1H 63877126 63878465 1339
0.398 chr1H 128681445 128696256 14811
0.399 chr1H 258816967 258820357 3390
0.4 chr1H 32546726 32547483 757
0.401 chr1H 65422918 65424365 1447
0.402 chr1H 32966183 32966670 487
0.403 chr1H 66288958 66291237 2279
0.404 chr1H 100225090 100229691 4601
0.405 chr1H 33708276 33718079 9803
0.406 chr1H 101493289 101503294 10005
0.407 chr1H 34083562 34088731 5169
0.409 chr1H 34447748 34455224 7476
0.41 chr1H 34764212 34776082 11870
0.412 chr1H 35213246 35218550 5304
0.413 chr1H 106348688 106351208 2520
0.414 chr1H 142812117 142823148 11031
0.415 chr1H 71972333 71974873 2540
0.416 chr1H 36169093 36172878 3785
0.417 chr1H 72883060 72906591 23531
0.418 chr1H 183307301 183322969 15668
0.419 chr1H 73840020 73847017 6997
0.42 chr1H 111552385 111566819 14434
0.421 chr1H 149952686 149971019 18333
0.422 chr1H 37693920 37828128 134208
0.423 chr1H 152397384 152400640 3256
0.424 chr1H 115173677 115195273 21596
0.425 chr1H 271290426 271310454 20028
0.426 chr1H 78138668 78155004 16336
0.427 chr1H 157520499 157524935 4436
0.428 chr1H 39612399 39613099 700
0.429 chr1H 39909840 39914357 4517
0.43 chr1H 40004313 40004791 478
0.431 chr1H 161673441 161701433 27992
0.432 chr1H 81285871 81316703 30832
0.433 chr1H 164056948 164088681 31733
0.434 chr1H 41229756 41235195 5439
0.435 chr1H 41518628 41520307 1679
0.436 chr1H 167268912 167273137 4225
0.438 chr1H 84987639 85000735 13096
0.439 chr1H 42739685 42767912 28227
0.44 chr1H 43087960 43089697 1737
0.441 chr1H 174315224 174334549 19325
0.442 chr1H 87865234 87869964 4730
0.443 chr1H 132577769 132588341 10572
0.444 chr1H 44674661 44683716 9055
0.445 chr1H 135400361 135403429 3068
0.446 chr1H 91284140 91294647 10507
0.447 chr1H 46149523 46149795 272
0.448 chr1H 279385807 279400965 15158
0.449 chr1H 47002240 47004177 1937
0.45 chr1H 189227397 189239474 12077
0.451 chr1H 338664953 338677712 12759
0.452 chr1H 538857590 538874137 16547
0.453 chr1H 2120421061 2120610463 189402
0.454 chr1H 1647182431 1647258896 76465
0.455 chr1H 488658112 488686803 28691
0.456 chr1H 617013392 617022821 9429
0.457 chr1H 63226660 63235665 9005
0.458 chr1H 640085374 640102648 17274
0.46 chr1H 593871965 593915161 43196
0.461 chr1H 471181154 471192075 10921
0.462 chr1H 478539264 478554445 15181
0.463 chr1H 697966957 698013881 46924
0.464 chr1H 355229879 355246563 16684
0.465 chr1H 578634395 578685762 51367
0.466 chr1H 1331356947 1331446738 89791
0.467 chr1H 525681757 525691256 9499
0.468 chr1H 930139423 930169969 30546
0.469 chr1H 1431019967 1431197673 177706
0.47 chr1H 1961818282 1962015013 196731
0.471 chr1H 1880571370 1880681726 110356
0.472 chr1H 3056622918 3056774985 152067
0.473 chr1H 4046209293 4046493518 284225
0.474 chr1H 24222730908 24223862435 1131527
0.476 chr1H 142426894 142446852 19958
0.477 chr1H 142831749 142921058 89309
0.478 chr1H 286756763 286765357 8594
0.479 chr1H 288045137 288091339 46202
0.48 chr1H 289290640 289324492 33852
0.481 chr1H 729378939 729402078 23139
0.482 chr1H 1496688423 1496751848 63425
0.483 chr1H 40418756085 40420886715 2130630
0.484 chr1H 52464545416 52465941566 1396150
0.485 chr1H 26597226191 26597636490 410299
0.486 chr1H 34725087325 34725598704 511379
0.487 chr1H 12690216139 12690354164 138025
0.488 chr1H 15859670379 15859983119 312740
0.489 chr1H 14186935324 14187118246 182922
0.49 chr1H 8638977321 8639076629 99308
0.491 chr1H 9833941218 9833990096 48878
0.492 chr1H 13625293089 13625451434 158345
0.493 chr1H 1859916623 1859930977 14354
0.494 chr1H 3358507559 3358531282 23723
0.496 chr1H 749518742 749524162 5420
0.497 chr1H 1501336713 1501362881 26168
0.498 chr1H 1127901547 1127930286 28739
0.499 chr1H 1881989441 1882005710 16269
0.5 chr1H 1508104499 1508131496 26997
0.501 chr1H 1132299244 1132319190 19946
0.502 chr1H 1134157512 1134174008 16496
0.503 chr1H 378882289 378884507 2218
0.504 chr1H 3415172593 3415204802 32209
0.505 chr1H 6088455637 6088501942 46305
0.506 chr1H 2288041500 2288142963 101463
0.507 chr1H 3059562090 3059590882 28792
0.508 chr1H 1149925598 1149939607 14009
0.509 chr1H 1920403718 1920416758 13040
0.51 chr1H 3079655022 3079680409 25387
0.511 chr1H 2315206686 2315235650 28964
0.512 chr1H 2706221506 2706236820 15314
0.513 chr1H 2712397954 2712446090 48136
0.514 chr1H 5444810954 5444864557 53603
0.515 chr1H 18048601626 18048792904 191278
0.516 chr1H 2774702251 2774719196 16945
0.517 chr1H 4369444228 4369472323 28095
0.518 chr1H 3586238481 3586410764 172283
0.519 chr1H 2797132837 2797245763 112926
0.52 chr1H 801227885 801230998 3113
0.521 chr1H 2006653139 2006699822 46683
0.522 chr1H 3619752065 3619783452 31387
0.523 chr1H 4836675893 4836726231 50338
0.524 chr1H 403765382 403766482 1100
0.525 chr1H 2426708301 2426762115 53814
0.526 chr1H 3241288643 3241323053 34410
0.527 chr1H 1217274027 1217289318 15291
0.528 chr1H 3656635820 3656663591 27771
0.529 chr1H 2033668001 2033696942 28941
0.53 chr1H 1629734325 1629934321 199996
0.531 chr1H 407775684 407776961 1277
0.532 chr1H 817848678 817864338 15660
0.533 chr1H 2865275121 2865295789 20668
0.534 chr1H 1229856967 1229865336 8369
0.535 chr1H 2052866228 2052884153 17925
0.536 chr1H 1644692344 1644707939 15595
0.537 chr1H 1646879173 1646896225 17052
0.538 chr1H 824715568 824729517 13949
0.539 chr1H 1238103970 1238112884 8914
0.54 chr1H 1240356901 1240361688 4787
0.541 chr1H 3725389668 3725420152 30484
0.542 chr1H 829373942 829386065 12123
0.543 chr1H 3320917630 3320942056 24426
0.544 chr1H 415609572 415610471 899
0.545 chr1H 1665243973 1665258430 14457
0.546 chr1H 1250451559 1250455029 3470
0.547 chr1H 1669282811 1669297572 14761
0.548 chr1H 836283051 836294611 11560
0.549 chr1H 2929839782 2929876661 36879
0.55 chr1H 4610019278 4610066178 46900
0.551 chr1H 2099055234 2099070960 15726
0.552 chr1H 3363562136 3363600310 38174
0.553 chr1H 421114338 421118156 3818
0.554 chr1H 2531787024 2531841858 54834
0.555 chr1H 1267734700 1267745353 10653
0.556 chr1H 2539223837 2539248956 25119
0.557 chr1H 1271797451 1271813130 15679
0.558 chr1H 1698771797 1698785198 13401
0.559 chr1H 1275665568 1275677899 12331
0.56 chr1H 2980129005 2980168444 39439
0.561 chr1H 1706097230 1706102209 4979
0.562 chr1H 2562691823 2562712735 20912
0.563 chr1H 4706455457 4706491955 36498
0.564 chr1H 1284941328 1284968551 27223
0.565 chr1H 2574074853 2574092283 17430
0.566 chr1H 858724855 858726678 1823
0.567 chr1H 859801529 859808835 7306
0.568 chr1H 1292212237 1292226965 14728
0.569 chr1H 862563282 862568848 5566
0.57 chr1H 3454426468 3454495575 69107
0.571 chr1H 1729763412 1729779849 16437
0.572 chr1H 865814612 865822374 7762
0.573 chr1H 6072670226 6072696896 26670
0.574 chr1H 3041373715 3041394481 20766
0.575 chr1H 4785149810 4785228646 78836
0.576 chr1H 3049207501 3049232031 24530
0.577 chr1H 1745994729 1746000154 5425
0.578 chr1H 5247984595 5248133293 148698
0.579 chr1H 6144671510 6144703767 32257
0.58 chr1H 1759431591 1759454798 23207
0.581 chr1H 2646165617 2646200296 34679
0.582 chr1H 1768759287 1768790425 31138
0.583 chr1H 3544403283 3544462954 59671
0.584 chr1H 3550572875 3550611570 38695
0.585 chr1H 4443181696 4443215511 33815
0.586 chr1H 1335089595 1335097527 7932
0.587 chr1H 1337186275 1337217756 31481
0.588 chr1H 1339612966 1339625293 12327
0.589 chr1H 7153661398 7153730541 69143
0.59 chr1H 895638102 895648438 10336
0.591 chr1H 3139446964 3139538121 91157
0.592 chr1H 1346766401 1346778977 12576
0.593 chr1H 1348399082 1348413580 14498
0.594 chr1H 2699671724 2699707112 35388
0.595 chr1H 1351127285 1351132325 5040
0.596 chr1H 2254743082 2254758843 15761
0.597 chr1H 2256298150 2256318938 20788
0.598 chr1H 2258931189 2258955922 24733
0.599 chr1H 1356212121 1356230994 18873
0.6 chr1H 452492328 452500046 7718
0.601 chr1H 1358716532 1358733278 16746
0.602 chr1H 1813373386 1813389657 16271
0.603 chr1H 907541150 907548236 7086
0.604 chr1H 1362353596 1362366540 12944
0.605 chr1H 3180406362 3180443095 36733
0.606 chr1H 909558273 909559423 1150
0.607 chr1H 2275430451 2275444776 14325
0.608 chr1H 1366556321 1366561564 5243
0.609 chr1H 1367259817 1367282845 23028
0.61 chr1H 912409106 912418052 8946
0.611 chr1H 1825944849 1825973504 28655
0.612 chr1H 2283607757 2283625183 17426
0.613 chr1H 457146272 457149395 3123
0.614 chr1H 457300809 457307462 6653
0.615 chr1H 457757474 457758548 1074
0.616 chr1H 915689335 915697995 8660
0.617 chr1H 1832568712 1832582155 13443
0.618 chr1H 1834520289 1834529947 9658
0.619 chr1H 917828497 917832373 3876
0.62 chr1H 459029724 459034768 5044
0.621 chr1H 459368912 459370353 1441
0.622 chr1H 1838617588 1838640852 23264
0.623 chr1H 919880322 919887309 6987
0.625 chr1H 921135677 921141503 5826
0.626 chr1H 1382545627 1382565685 20058
0.627 chr1H 922129544 922136065 6521
0.628 chr1H 2307598818 2307623675 24857
0.629 chr1H 1385183791 1385187231 3440
0.63 chr1H 924227233 924246451 19218
0.631 chr1H 462186628 462193644 7016
0.632 chr1H 462584859 462589301 4442
0.633 chr1H 3240521012 3240553102 32090
0.634 chr1H 1389839876 1389847145 7269
0.635 chr1H 1390335730 1390352963 17233
0.636 chr1H 1391265333 1391269154 3821
0.639 chr1H 464420461 464423230 2769
0.641 chr1H 465039785 465043386 3601
0.642 chr1H 930538977 930545863 6886
0.643 chr1H 1862343860 1862356064 12204
0.644 chr1H 465736745 465739685 2940
0.645 chr1H 2330152149 2330156081 3932
0.646 chr1H 932633035 932635089 2054
0.648 chr1H 2801251416 2801273992 22576
0.649 chr1H 934189563 934192438 2875
0.65 chr1H 934537472 934543519 6047
0.651 chr1H 1870128366 1870133007 4641
0.652 chr1H 935752920 935763092 10172
0.653 chr1H 2340028272 2340035809 7537
0.654 chr1H 468276187 468279254 3067
0.655 chr1H 1405617659 1405620453 2794
0.656 chr1H 2812543000 2812564403 21403
0.657 chr1H 469073016 469075988 2972
0.658 chr1H 938411167 938415632 4465
0.659 chr1H 2347371085 2347394991 23906
0.66 chr1H 1409044417 1409051256 6839
0.663 chr1H 940696054 940699799 3745
0.664 chr1H 941250270 941255485 5215
0.665 chr1H 941569494 941572707 3213
0.666 chr1H 942142026 942150695 8669
0.667 chr1H 471342817 471343945 1128
0.668 chr1H 942910500 942920354 9854
0.669 chr1H 1414933442 1414940076 6634
0.67 chr1H 471968196 471970846 2650
0.673 chr1H 945153188 945156972 3784
0.674 chr1H 1418237299 1418255085 17786
0.675 chr1H 3783680821 3783702006 21185
0.676 chr1H 1419618196 1419620436 2240
0.677 chr1H 946824049 946827239 3190
0.678 chr1H 947101846 947108231 6385
0.679 chr1H 1895074846 1895123129 48283
0.68 chr1H 1422065046 1422076405 11359
0.681 chr1H 948262977 948302602 39625
0.682 chr1H 474424154 474424401 247
0.684 chr1H 474618766 474619368 602
0.685 chr1H 474884538 474885196 658
0.686 chr1H 950102382 950106706 4324
0.687 chr1H 1425913345 1425928593 15248
0.69 chr1H 475876394 475877227 833
0.691 chr1H 951997790 952004617 6827
0.694 chr1H 476501350 476502668 1318
0.695 chr1H 1430253351 1430268403 15052
0.698 chr1H 954480468 954486490 6022
0.699 chr1H 954790133 954796160 6027
0.7 chr1H 477523494 477534400 10906
0.701 chr1H 1433235169 1433243427 8258
0.702 chr1H 477851788 477854208 2420
0.703 chr1H 1434107158 1434109483 2325
0.704 chr1H 1434624030 1434635271 11241
0.705 chr1H 1913426956 1913454625 27669
0.706 chr1H 478455706 478459085 3379
0.707 chr1H 2872262070 2872280340 18270
0.708 chr1H 957806622 957809636 3014
0.709 chr1H 1437052441 1437062513 10072
0.711 chr1H 479358547 479360848 2301
0.712 chr1H 2397840603 2397850869 10266
0.713 chr1H 2398645753 2398657214 11461
0.715 chr1H 2399983018 2399998184 15166
0.716 chr1H 480126114 480127008 894
0.717 chr1H 2401663559 2401676355 12796
0.718 chr1H 480447181 480450610 3429
0.719 chr1H 1442199378 1442207463 8085
0.72 chr1H 961676741 961677474 733
0.721 chr1H 1442988248 1442997930 9682
0.722 chr1H 481168642 481170250 1608
0.723 chr1H 962606792 962610383 3591
0.724 chr1H 3851921968 3851944089 22121
0.725 chr1H 1926651926 1926661065 9139
0.727 chr1H 3373651594 3373668054 16460
0.728 chr1H 964125157 964132257 7100
0.729 chr1H 964485309 964492124 6815
0.73 chr1H 2412058858 2412078193 19335
0.731 chr1H 482689186 482690205 1019
0.732 chr1H 3379299618 3379347634 48016
0.733 chr1H 1448667739 1448692604 24865
0.734 chr1H 966149593 966153917 4324
0.735 chr1H 483314324 483314811 487
0.736 chr1H 1450033139 1450043403 10264
0.737 chr1H 967034863 967040734 5871
0.74 chr1H 484015209 484019216 4007
0.742 chr1H 484311376 484311573 197
0.744 chr1H 969161706 969170200 8494
0.745 chr1H 969451284 969457037 5753
0.746 chr1H 969927049 969932303 5254
0.748 chr1H 485163583 485166807 3224
0.749 chr1H 1941331355 1941349533 18178
0.75 chr1H 1456593751 1456599992 6241
0.751 chr1H 1456979442 1456984679 5237
0.753 chr1H 485985464 485992576 7112
0.755 chr1H 3403284182 3403296571 12389
0.756 chr1H 486434521 486437514 2993
0.757 chr1H 973012923 973204590 191667
0.758 chr1H 1460034666 1460040614 5948
0.759 chr1H 486748121 486748474 353
0.76 chr1H 1460728696 1460730850 2154
0.761 chr1H 487103964 487106996 3032
0.762 chr1H 487204757 487215328 10571
0.764 chr1H 487565412 487566959 1547
0.766 chr1H 975602654 975603261 607
0.767 chr1H 975785866 975788799 2933
0.768 chr1H 487995238 487999364 4126
0.77 chr1H 2441569153 2441585428 16275
0.773 chr1H 2443676908 2443690127 13219
0.774 chr1H 1466504781 1466513991 9210
0.776 chr1H 1467359526 1467375437 15911
0.777 chr1H 1467905106 1467913670 8564
0.778 chr1H 489466283 489467882 1599
0.78 chr1H 1958890341 1958904237 13896
0.782 chr1H 489909548 489917305 7757
0.785 chr1H 2452011136 2452027454 16318
0.787 chr1H 1472203770 1472210248 6478
0.788 chr1H 981781853 981784981 3128
0.789 chr1H 1964235988 1964256660 20672
0.791 chr1H 982671453 982675450 3997
0.793 chr1H 983349114 983357078 7964
0.794 chr1H 1475686363 1475693695 7332
0.795 chr1H 2460247581 2460255420 7839
0.796 chr1H 1476610268 1476624207 13939
0.797 chr1H 1969543609 1969554890 11281
0.798 chr1H 492627220 492636539 9319
0.799 chr1H 1970940985 1970953912 12927
0.8 chr1H 1971784762 1971796301 11539
0.801 chr1H 986227441 986228543 1102
0.802 chr1H 2466563892 2466580947 17055
0.803 chr1H 1480378398 1480382696 4298
0.804 chr1H 987233218 987244084 10866
0.806 chr1H 988059632 988071436 11804
0.807 chr1H 494246151 494250406 4255
0.808 chr1H 988729952 988731993 2041
0.809 chr1H 988978713 988984529 5816
0.81 chr1H 989389842 989485153 95311
0.811 chr1H 1979738242 1979775346 37104
0.812 chr1H 495131155 495214855 83700
0.813 chr1H 990398702 990406938 8236
0.814 chr1H 1486261351 1486272621 11270
0.815 chr1H 991152475 991154573 2098
0.816 chr1H 1983394948 1983402391 7443
0.817 chr1H 496009174 496009886 712
0.818 chr1H 992468813 992484170 15357
0.819 chr1H 1489320619 1489335402 14783
0.82 chr1H 1489886506 1489896397 9891
0.821 chr1H 993556513 993562335 5822
0.822 chr1H 1988036272 1988043452 7180
0.823 chr1H 1988855722 1988870008 14286
0.824 chr1H 1492275700 1492286525 10825
0.825 chr1H 497659687 497669017 9330
0.826 chr1H 995651842 995709067 57225
0.827 chr1H 996140427 996147684 7257
0.828 chr1H 1992991411 1993007863 16452
0.829 chr1H 2991495034 2991518035 23001
0.83 chr1H 3491412695 3491436025 23330
0.831 chr1H 1996794237 1996850265 56028
0.832 chr1H 499561769 499564795 3026
0.833 chr1H 499643377 499647242 3865
0.834 chr1H 499895423 499898412 2989
0.835 chr1H 500134186 500136504 2318
0.836 chr1H 1000968901 1001029617 60716
0.838 chr1H 3005983594 3006004306 20712
0.839 chr1H 1002653410 1002662154 8744
0.84 chr1H 1003237750 1003244627 6877
0.841 chr1H 501967950 501971602 3652
0.842 chr1H 1506479607 1506487391 7784
0.844 chr1H 1508163337 1508166954 3617
0.845 chr1H 1006187534 1006199733 12199
0.846 chr1H 1509978768 1509985628 6860
0.847 chr1H 2517768232 2517803900 35668
0.848 chr1H 1007658243 1007661520 3277
0.849 chr1H 2016498728 2016505041 6313
0.85 chr1H 2522111961 2522127969 16008
0.852 chr1H 1514519238 1514547696 28458
0.853 chr1H 505146277 505151988 5711
0.854 chr1H 505244500 505246396 1896
0.855 chr1H 505547459 505547581 122
0.856 chr1H 505648010 505648633 623
0.857 chr1H 505808815 505810214 1399
0.858 chr1H 505941446 505941971 525
0.86 chr1H 1518939625 1518943117 3492
0.862 chr1H 506605805 506612052 6247
0.863 chr1H 3040501762 3040512057 10295
0.866 chr1H 2028780427 2028785484 5057
0.867 chr1H 507410218 507412025 1807
0.868 chr1H 1522497980 1522501599 3619
0.869 chr1H 3553405027 3553425359 20332
